,blueWin,blueGold,blueExp,blueLvl,blueCS,blueJngCS,blueVisionScore,blueTowerScore,blueInhibScore,blueDrakeScore,blueHeraldScore,blueBaronScore,blueKillScore,blueDeathScore,blueAssistScore,blueFirstHerald,blueFirstDrake,blueFirstBaron,blueFirstElder,blueDrakeSoul,redGold,redExp,redLvl,redCS,redJngCS,redVisionScore,redTowerScore,redInhibScore,redDrakeScore,redHeraldScore,redBaronScore,redKillScore,redDeathScore,redAssistScore,redFirstHerald,redFirstDrake,redFirstBaron,redFirstElder,redDrakeSoul,blueExpDiff,blueLvlDiff,blueGoldDiff,blueDrakeDiff,blueBaronDiff,blueHeraldDiff,blueTowerDiff,blueInhibDiff
0,0.0,40118.0,49885.0,63.0,458.0,106.0,58.0,1.0,0.0,0.0,0.0,0.0,21.0,30.0,29.0,0.0,0.0,0.0,0.0,0.0,50872.0,58547.0,67.0,490.0,172.0,60.0,5.0,1.0,4.0,2.0,0.0,30.0,21.0,29.0,1.0,1.0,0.0,0.0,1.0,-8662.0,-4.0,-10754.0,-4.0,0.0,-2.0,-4.0,-1.0
1,1.0,48723.0,54388.0,65.0,479.0,151.0,46.0,6.0,0.0,3.0,1.0,0.0,35.0,14.0,22.0,1.0,1.0,0.0,0.0,0.0,37476.0,44798.0,59.0,351.0,86.0,32.0,0.0,0.0,0.0,0.0,0.0,14.0,35.0,14.0,0.0,0.0,0.0,0.0,0.0,9590.0,6.0,11247.0,3.0,0.0,1.0,6.0,0.0
2,1.0,40028.0,48759.0,60.0,514.0,125.0,53.0,3.0,0.0,1.0,2.0,0.0,12.0,13.0,15.0,1.0,0.0,0.0,0.0,0.0,42088.0,52256.0,64.0,509.0,178.0,57.0,2.0,0.0,2.0,0.0,0.0,13.0,12.0,16.0,0.0,1.0,0.0,0.0,0.0,-3497.0,-4.0,-2060.0,-1.0,0.0,2.0,1.0,0.0
3,1.0,46687.0,54274.0,66.0,516.0,124.0,61.0,6.0,0.0,2.0,1.0,1.0,24.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,38008.0,46541.0,60.0,457.0,89.0,50.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,7733.0,6.0,8679.0,2.0,1.0,1.0,6.0,0.0
4,0.0,45016.0,52120.0,64.0,553.0,120.0,87.0,2.0,0.0,2.0,0.0,0.0,23.0,28.0,35.0,0.0,0.0,0.0,0.0,0.0,51187.0,58181.0,68.0,521.0,166.0,77.0,3.0,0.0,1.0,1.0,1.0,28.0,23.0,42.0,1.0,1.0,1.0,0.0,0.0,-6061.0,-4.0,-6171.0,1.0,-1.0,-1.0,-1.0,0.0
5,0.0,44493.0,52319.0,64.0,537.0,144.0,61.0,6.0,0.0,0.0,2.0,0.0,21.0,18.0,18.0,1.0,0.0,0.0,0.0,0.0,46550.0,58565.0,69.0,552.0,180.0,128.0,2.0,0.0,3.0,0.0,1.0,18.0,21.0,20.0,0.0,1.0,1.0,0.0,0.0,-6246.0,-5.0,-2057.0,-3.0,-1.0,2.0,4.0,0.0
6,0.0,48371.0,55337.0,65.0,599.0,142.0,68.0,3.0,0.0,2.0,1.0,0.0,29.0,21.0,25.0,0.0,0.0,0.0,0.0,0.0,46811.0,54556.0,66.0,582.0,153.0,81.0,3.0,0.0,1.0,1.0,0.0,21.0,29.0,21.0,1.0,1.0,0.0,0.0,0.0,781.0,-1.0,1560.0,1.0,0.0,0.0,0.0,0.0
7,0.0,41277.0,49432.0,61.0,543.0,112.0,61.0,3.0,0.0,0.0,0.0,0.0,14.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,47137.0,56240.0,66.0,500.0,194.0,67.0,5.0,0.0,4.0,1.0,0.0,26.0,14.0,19.0,1.0,1.0,0.0,0.0,1.0,-6808.0,-5.0,-5860.0,-4.0,0.0,-1.0,-2.0,0.0
8,1.0,50696.0,57273.0,67.0,490.0,150.0,64.0,7.0,0.0,2.0,0.0,0.0,31.0,19.0,38.0,0.0,1.0,0.0,0.0,0.0,39709.0,48020.0,61.0,400.0,103.0,61.0,1.0,0.0,0.0,2.0,0.0,19.0,31.0,18.0,1.0,0.0,0.0,0.0,0.0,9253.0,6.0,10987.0,2.0,0.0,-2.0,6.0,0.0
9,1.0,47642.0,52284.0,65.0,570.0,121.0,70.0,6.0,0.0,1.0,2.0,0.0,23.0,15.0,19.0,1.0,0.0,0.0,0.0,0.0,41318.0,51906.0,63.0,469.0,129.0,151.0,0.0,0.0,2.0,0.0,1.0,15.0,23.0,27.0,0.0,1.0,1.0,0.0,0.0,378.0,2.0,6324.0,-1.0,-1.0,2.0,6.0,0.0
10,0.0,41696.0,51712.0,65.0,494.0,128.0,82.0,1.0,0.0,1.0,1.0,0.0,16.0,28.0,17.0,1.0,1.0,0.0,0.0,0.0,47488.0,57018.0,67.0,493.0,143.0,52.0,3.0,0.0,2.0,1.0,0.0,28.0,16.0,34.0,0.0,0.0,0.0,0.0,0.0,-5306.0,-2.0,-5792.0,-1.0,0.0,0.0,-2.0,0.0
11,0.0,48395.0,55091.0,67.0,420.0,166.0,52.0,3.0,1.0,1.0,2.0,1.0,26.0,19.0,42.0,1.0,0.0,1.0,0.0,0.0,41863.0,43561.0,58.0,460.0,128.0,68.0,3.0,0.0,3.0,0.0,0.0,19.0,26.0,25.0,0.0,1.0,0.0,0.0,0.0,11530.0,9.0,6532.0,-2.0,1.0,2.0,0.0,1.0
12,0.0,46811.0,48512.0,61.0,560.0,159.0,49.0,4.0,0.0,2.0,1.0,0.0,22.0,22.0,23.0,1.0,1.0,0.0,0.0,0.0,45206.0,54839.0,67.0,499.0,133.0,66.0,2.0,0.0,1.0,0.0,0.0,22.0,22.0,35.0,0.0,0.0,0.0,0.0,0.0,-6327.0,-6.0,1605.0,1.0,0.0,1.0,2.0,0.0
13,0.0,40869.0,41653.0,57.0,240.0,35.0,134.0,6.0,1.0,1.0,1.0,0.0,29.0,42.0,37.0,0.0,1.0,0.0,0.0,0.0,48909.0,48026.0,61.0,378.0,157.0,27.0,4.0,1.0,1.0,1.0,0.0,42.0,29.0,37.0,1.0,0.0,0.0,0.0,0.0,-6373.0,-4.0,-8040.0,0.0,0.0,0.0,2.0,0.0
14,0.0,39799.0,47718.0,61.0,542.0,150.0,53.0,2.0,0.0,2.0,1.0,0.0,11.0,15.0,9.0,1.0,1.0,0.0,0.0,0.0,42812.0,52041.0,63.0,535.0,123.0,146.0,3.0,0.0,1.0,0.0,0.0,15.0,11.0,21.0,0.0,0.0,0.0,0.0,0.0,-4323.0,-2.0,-3013.0,1.0,0.0,1.0,-1.0,0.0
15,1.0,49909.0,52661.0,64.0,496.0,167.0,55.0,6.0,0.0,3.0,1.0,0.0,32.0,24.0,26.0,1.0,1.0,0.0,0.0,0.0,45479.0,49083.0,62.0,466.0,95.0,156.0,0.0,0.0,0.0,0.0,0.0,24.0,32.0,24.0,0.0,0.0,0.0,0.0,0.0,3578.0,2.0,4430.0,3.0,0.0,1.0,6.0,0.0
16,1.0,47176.0,57040.0,67.0,513.0,164.0,39.0,6.0,1.0,3.0,1.0,0.0,29.0,10.0,24.0,0.0,1.0,0.0,0.0,0.0,38049.0,49317.0,62.0,465.0,124.0,50.0,1.0,0.0,0.0,1.0,0.0,10.0,29.0,17.0,1.0,0.0,0.0,0.0,0.0,7723.0,5.0,9127.0,3.0,0.0,0.0,5.0,1.0
17,0.0,46392.0,54827.0,67.0,527.0,127.0,42.0,5.0,0.0,1.0,0.0,0.0,27.0,18.0,27.0,0.0,0.0,0.0,0.0,0.0,45626.0,56109.0,66.0,525.0,189.0,93.0,4.0,0.0,1.0,1.0,0.0,18.0,27.0,10.0,1.0,1.0,0.0,0.0,0.0,-1282.0,1.0,766.0,0.0,0.0,-1.0,1.0,0.0
18,0.0,47026.0,54240.0,66.0,541.0,187.0,94.0,5.0,0.0,0.0,1.0,0.0,24.0,30.0,21.0,1.0,0.0,0.0,0.0,0.0,50264.0,56118.0,66.0,553.0,111.0,97.0,1.0,0.0,4.0,0.0,0.0,30.0,24.0,38.0,0.0,1.0,0.0,0.0,1.0,-1878.0,0.0,-3238.0,-4.0,0.0,1.0,4.0,0.0
19,1.0,46935.0,54039.0,65.0,477.0,133.0,46.0,7.0,0.0,2.0,2.0,0.0,25.0,21.0,17.0,1.0,0.0,0.0,0.0,0.0,40303.0,52734.0,60.0,422.0,118.0,109.0,1.0,0.0,1.0,0.0,1.0,21.0,25.0,17.0,0.0,1.0,1.0,0.0,0.0,1305.0,5.0,6632.0,1.0,-1.0,2.0,6.0,0.0
20,1.0,45681.0,57308.0,68.0,471.0,140.0,67.0,4.0,0.0,1.0,1.0,1.0,21.0,25.0,26.0,1.0,0.0,1.0,0.0,0.0,46401.0,55226.0,66.0,486.0,139.0,91.0,1.0,0.0,1.0,0.0,0.0,25.0,21.0,31.0,0.0,1.0,0.0,0.0,0.0,2082.0,2.0,-720.0,0.0,1.0,1.0,3.0,0.0
21,1.0,46462.0,50235.0,63.0,455.0,193.0,53.0,5.0,1.0,3.0,1.0,0.0,29.0,15.0,18.0,1.0,1.0,0.0,0.0,0.0,40410.0,52032.0,65.0,421.0,99.0,44.0,1.0,0.0,0.0,0.0,1.0,15.0,29.0,19.0,0.0,0.0,1.0,0.0,0.0,-1797.0,-2.0,6052.0,3.0,-1.0,1.0,4.0,1.0
22,0.0,39035.0,50937.0,63.0,537.0,100.0,48.0,3.0,1.0,0.0,0.0,0.0,8.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,47522.0,59660.0,69.0,622.0,158.0,53.0,6.0,0.0,3.0,2.0,0.0,23.0,8.0,15.0,1.0,1.0,0.0,0.0,0.0,-8723.0,-6.0,-8487.0,-3.0,0.0,-2.0,-3.0,1.0
23,1.0,46260.0,50309.0,63.0,435.0,123.0,67.0,6.0,0.0,2.0,2.0,0.0,29.0,26.0,40.0,1.0,1.0,0.0,0.0,0.0,49304.0,54710.0,65.0,562.0,165.0,45.0,2.0,0.0,0.0,0.0,0.0,26.0,29.0,26.0,0.0,0.0,0.0,0.0,0.0,-4401.0,-2.0,-3044.0,2.0,0.0,2.0,4.0,0.0
