,blueWin,blueGold,blueExp,blueLvl,blueCS,blueJngCS,blueVisionScore,blueTowerScore,blueInhibScore,blueDrakeScore,blueHeraldScore,blueBaronScore,blueKillScore,blueDeathScore,blueAssistScore,blueFirstHerald,blueFirstDrake,blueFirstBaron,blueFirstElder,blueDrakeSoul,redGold,redExp,redLvl,redCS,redJngCS,redVisionScore,redTowerScore,redInhibScore,redDrakeScore,redHeraldScore,redBaronScore,redKillScore,redDeathScore,redAssistScore,redFirstHerald,redFirstDrake,redFirstBaron,redFirstElder,redDrakeSoul,blueExpDiff,blueLvlDiff,blueGoldDiff,blueDrakeDiff,blueBaronDiff,blueHeraldDiff,blueTowerDiff,blueInhibDiff
0,1.0,58015.0,67087.0,73.0,549.0,182.0,61.0,11.0,3.0,4.0,1.0,1.0,33.0,19.0,41.0,0.0,1.0,1.0,0.0,1.0,51356.0,64793.0,73.0,501.0,116.0,363.0,1.0,0.0,0.0,1.0,0.0,19.0,33.0,35.0,1.0,0.0,0.0,0.0,0.0,2294.0,0.0,6659.0,4.0,1.0,0.0,10.0,3.0
1,0.0,53443.0,60919.0,70.0,460.0,120.0,55.0,2.0,0.0,1.0,0.0,0.0,39.0,48.0,57.0,0.0,0.0,0.0,0.0,0.0,61979.0,64665.0,72.0,513.0,202.0,66.0,5.0,0.0,3.0,2.0,0.0,48.0,39.0,50.0,1.0,1.0,0.0,0.0,0.0,-3746.0,-2.0,-8536.0,-2.0,0.0,-2.0,-3.0,0.0
2,0.0,60284.0,66719.0,74.0,615.0,192.0,90.0,6.0,0.0,3.0,2.0,0.0,38.0,43.0,44.0,1.0,1.0,0.0,0.0,0.0,66106.0,78379.0,81.0,607.0,151.0,93.0,4.0,0.0,1.0,0.0,1.0,43.0,38.0,60.0,0.0,0.0,1.0,0.0,0.0,-11660.0,-7.0,-5822.0,2.0,-1.0,2.0,2.0,0.0
3,1.0,57254.0,69708.0,75.0,489.0,138.0,59.0,7.0,2.0,3.0,1.0,0.0,37.0,27.0,42.0,0.0,1.0,0.0,0.0,0.0,53750.0,65429.0,72.0,559.0,167.0,88.0,3.0,0.0,1.0,1.0,0.0,27.0,37.0,36.0,1.0,0.0,0.0,0.0,0.0,4279.0,3.0,3504.0,2.0,0.0,0.0,4.0,2.0
4,0.0,58729.0,67109.0,74.0,542.0,141.0,75.0,4.0,0.0,1.0,0.0,0.0,34.0,31.0,54.0,0.0,0.0,0.0,0.0,0.0,55125.0,59488.0,69.0,533.0,125.0,338.0,5.0,0.0,3.0,2.0,0.0,31.0,34.0,34.0,1.0,1.0,0.0,0.0,0.0,7621.0,5.0,3604.0,-2.0,0.0,-2.0,-1.0,0.0
5,1.0,58122.0,70794.0,77.0,690.0,180.0,67.0,6.0,0.0,3.0,2.0,0.0,25.0,32.0,33.0,1.0,1.0,0.0,0.0,0.0,58595.0,72152.0,76.0,707.0,187.0,71.0,2.0,0.0,2.0,0.0,0.0,32.0,25.0,33.0,0.0,0.0,0.0,0.0,0.0,-1358.0,1.0,-473.0,1.0,0.0,2.0,4.0,0.0
6,1.0,52844.0,61180.0,70.0,638.0,132.0,79.0,3.0,1.0,2.0,2.0,0.0,24.0,33.0,40.0,1.0,1.0,0.0,0.0,0.0,60714.0,70109.0,75.0,584.0,218.0,68.0,5.0,0.0,2.0,0.0,1.0,33.0,24.0,46.0,0.0,0.0,1.0,0.0,0.0,-8929.0,-5.0,-7870.0,0.0,-1.0,2.0,-2.0,1.0
7,0.0,51916.0,57831.0,68.0,577.0,105.0,95.0,3.0,0.0,2.0,0.0,0.0,25.0,32.0,48.0,0.0,1.0,0.0,0.0,0.0,57633.0,65896.0,72.0,530.0,201.0,94.0,3.0,0.0,2.0,2.0,1.0,32.0,25.0,40.0,1.0,0.0,1.0,0.0,0.0,-8065.0,-4.0,-5717.0,0.0,-1.0,-2.0,0.0,0.0
8,0.0,54647.0,63982.0,72.0,527.0,122.0,56.0,3.0,0.0,1.0,1.0,0.0,30.0,45.0,33.0,1.0,0.0,0.0,0.0,0.0,63079.0,70979.0,77.0,556.0,153.0,258.0,6.0,1.0,3.0,1.0,0.0,45.0,30.0,92.0,0.0,1.0,0.0,0.0,0.0,-6997.0,-5.0,-8432.0,-2.0,0.0,0.0,-3.0,-1.0
9,1.0,52934.0,63695.0,71.0,580.0,187.0,100.0,4.0,0.0,1.0,2.0,1.0,20.0,17.0,35.0,1.0,0.0,1.0,0.0,0.0,48824.0,59475.0,69.0,627.0,175.0,65.0,3.0,0.0,3.0,0.0,0.0,17.0,20.0,14.0,0.0,1.0,0.0,0.0,0.0,4220.0,2.0,4110.0,-2.0,1.0,2.0,1.0,0.0
10,1.0,64767.0,71614.0,76.0,581.0,192.0,139.0,8.0,1.0,4.0,2.0,0.0,40.0,32.0,36.0,1.0,1.0,0.0,0.0,1.0,53623.0,59724.0,69.0,501.0,106.0,354.0,1.0,0.0,0.0,0.0,0.0,32.0,40.0,42.0,0.0,0.0,0.0,0.0,0.0,11890.0,7.0,11144.0,4.0,0.0,2.0,7.0,1.0
11,0.0,54661.0,59743.0,68.0,451.0,69.0,94.0,6.0,0.0,0.0,0.0,1.0,35.0,24.0,58.0,0.0,0.0,1.0,0.0,0.0,53874.0,59042.0,68.0,501.0,166.0,90.0,3.0,0.0,4.0,2.0,0.0,24.0,35.0,32.0,1.0,1.0,0.0,0.0,1.0,701.0,0.0,787.0,-4.0,1.0,-2.0,3.0,0.0
12,0.0,52856.0,68092.0,74.0,548.0,132.0,155.0,6.0,0.0,1.0,0.0,1.0,25.0,33.0,43.0,0.0,0.0,1.0,0.0,0.0,63779.0,74388.0,78.0,595.0,200.0,78.0,5.0,1.0,3.0,2.0,0.0,33.0,25.0,39.0,1.0,1.0,0.0,0.0,0.0,-6296.0,-4.0,-10923.0,-2.0,1.0,-2.0,1.0,-1.0
13,0.0,58527.0,72217.0,76.0,627.0,182.0,45.0,6.0,0.0,1.0,2.0,0.0,29.0,37.0,38.0,1.0,0.0,0.0,0.0,0.0,63744.0,77423.0,79.0,669.0,193.0,63.0,2.0,0.0,3.0,0.0,1.0,37.0,29.0,35.0,0.0,1.0,1.0,0.0,0.0,-5206.0,-3.0,-5217.0,-2.0,-1.0,2.0,4.0,0.0
