,blueWin,blueGold,blueExp,blueLvl,blueCS,blueJngCS,blueVisionScore,blueTowerScore,blueInhibScore,blueDrakeScore,blueHeraldScore,blueBaronScore,blueKillScore,blueDeathScore,blueAssistScore,blueFirstHerald,blueFirstDrake,blueFirstBaron,blueFirstElder,blueDrakeSoul,redGold,redExp,redLvl,redCS,redJngCS,redVisionScore,redTowerScore,redInhibScore,redDrakeScore,redHeraldScore,redBaronScore,redKillScore,redDeathScore,redAssistScore,redFirstHerald,redFirstDrake,redFirstBaron,redFirstElder,redDrakeSoul,blueExpDiff,blueLvlDiff,blueGoldDiff,blueDrakeDiff,blueBaronDiff,blueHeraldDiff,blueTowerDiff,blueInhibDiff
0,1.0,39316.0,45204.0,58.0,400.0,104.0,42.0,3.0,0.0,3.0,1.0,0.0,21.0,10.0,26.0,0.0,1.0,0.0,0.0,0.0,30481.0,35886.0,51.0,304.0,82.0,266.0,0.0,0.0,0.0,1.0,0.0,10.0,21.0,18.0,1.0,0.0,0.0,0.0,0.0,9318.0,7.0,8835.0,3.0,0.0,0.0,3.0,0.0
1,1.0,43614.0,45730.0,59.0,420.0,152.0,84.0,5.0,0.0,3.0,2.0,0.0,35.0,11.0,37.0,1.0,1.0,0.0,0.0,0.0,32001.0,36784.0,52.0,329.0,66.0,39.0,0.0,0.0,0.0,0.0,0.0,11.0,35.0,18.0,0.0,0.0,0.0,0.0,0.0,8946.0,7.0,11613.0,3.0,0.0,2.0,5.0,0.0
2,0.0,34749.0,40329.0,55.0,344.0,80.0,35.0,1.0,0.0,1.0,0.0,0.0,23.0,29.0,24.0,0.0,0.0,0.0,0.0,0.0,41370.0,43194.0,58.0,402.0,138.0,37.0,2.0,0.0,2.0,2.0,0.0,29.0,23.0,25.0,1.0,1.0,0.0,0.0,0.0,-2865.0,-3.0,-6621.0,-1.0,0.0,-2.0,-1.0,0.0
3,1.0,40956.0,46561.0,60.0,424.0,99.0,49.0,5.0,0.0,2.0,1.0,0.0,21.0,12.0,21.0,0.0,1.0,0.0,0.0,0.0,34561.0,38841.0,54.0,392.0,136.0,41.0,2.0,0.0,1.0,1.0,0.0,12.0,21.0,14.0,1.0,0.0,0.0,0.0,0.0,7720.0,6.0,6395.0,1.0,0.0,0.0,3.0,0.0
4,0.0,41888.0,44062.0,59.0,447.0,128.0,46.0,5.0,0.0,3.0,2.0,0.0,28.0,23.0,26.0,1.0,1.0,0.0,0.0,0.0,40702.0,43089.0,57.0,422.0,91.0,48.0,3.0,0.0,0.0,0.0,0.0,23.0,28.0,29.0,0.0,0.0,0.0,0.0,0.0,973.0,2.0,1186.0,3.0,0.0,2.0,2.0,0.0
5,0.0,34277.0,41547.0,57.0,428.0,112.0,35.0,2.0,0.0,2.0,1.0,0.0,14.0,12.0,20.0,1.0,1.0,0.0,0.0,0.0,35779.0,41913.0,56.0,458.0,112.0,39.0,3.0,0.0,1.0,1.0,0.0,12.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,-366.0,1.0,-1502.0,1.0,0.0,0.0,-1.0,0.0
6,0.0,35608.0,41288.0,55.0,347.0,72.0,33.0,2.0,0.0,1.0,0.0,0.0,21.0,24.0,15.0,0.0,1.0,0.0,0.0,0.0,43177.0,48717.0,62.0,422.0,141.0,44.0,3.0,0.0,1.0,1.0,0.0,24.0,21.0,25.0,1.0,0.0,0.0,0.0,0.0,-7429.0,-7.0,-7569.0,0.0,0.0,-1.0,-1.0,0.0
7,1.0,35979.0,43218.0,58.0,377.0,90.0,32.0,2.0,0.0,2.0,1.0,0.0,19.0,16.0,20.0,0.0,1.0,0.0,0.0,0.0,36570.0,42515.0,56.0,387.0,127.0,54.0,2.0,0.0,0.0,1.0,0.0,16.0,19.0,14.0,1.0,0.0,0.0,0.0,0.0,703.0,2.0,-591.0,2.0,0.0,0.0,0.0,0.0
8,1.0,30797.0,34375.0,50.0,313.0,64.0,37.0,3.0,0.0,2.0,1.0,0.0,14.0,15.0,10.0,1.0,1.0,0.0,0.0,0.0,31029.0,34085.0,50.0,321.0,87.0,33.0,2.0,0.0,0.0,1.0,0.0,15.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,290.0,0.0,-232.0,2.0,0.0,0.0,1.0,0.0
9,0.0,38869.0,43118.0,57.0,387.0,86.0,40.0,2.0,0.0,0.0,0.0,0.0,22.0,21.0,28.0,0.0,0.0,0.0,0.0,0.0,37728.0,39919.0,56.0,372.0,81.0,259.0,3.0,0.0,2.0,2.0,0.0,21.0,22.0,22.0,1.0,1.0,0.0,0.0,0.0,3199.0,1.0,1141.0,-2.0,0.0,-2.0,-1.0,0.0
