,blueWin,blueGold,blueExp,blueLvl,blueCS,blueJngCS,blueVisionScore,blueTowerScore,blueDrakeScore,blueHeraldScore,blueBaronScore,blueKillScore,blueDeathScore,blueAssistScore,redGold,redExp,redLvl,redCS,redJngCS,redVisionScore,redTowerScore,redDrakeScore,redHeraldScore,redBaronScore,redKillScore,redDeathScore,redAssistScore,blueExpDiff,blueLvlDiff,blueGoldDiff,blueDrakeDiff,blueBaronDiff,blueHeraldDiff
0,0.0,32150.0,34088.0,50.0,331.0,56.0,24.0,0.0,0.0,0.0,0.0,18.0,15.0,13.0,28780.0,34302.0,50.0,321.0,92.0,35.0,0.0,1.0,0.0,0.0,15.0,18.0,7.0,-214.0,0.0,3370.0,-1.0,0.0,0.0
1,0.0,22909.0,27837.0,45.0,281.0,58.0,22.0,1.0,0.0,0.0,0.0,9.0,13.0,7.0,26616.0,30427.0,46.0,301.0,52.0,30.0,1.0,1.0,0.0,0.0,13.0,9.0,9.0,-2590.0,-1.0,-3707.0,-1.0,0.0,0.0
2,0.0,29567.0,31344.0,47.0,309.0,60.0,23.0,0.0,1.0,0.0,0.0,15.0,13.0,11.0,26485.0,29651.0,46.0,296.0,64.0,392.0,0.0,1.0,0.0,0.0,13.0,15.0,13.0,1693.0,1.0,3082.0,0.0,0.0,0.0
3,0.0,24765.0,27503.0,44.0,284.0,52.0,26.0,0.0,1.0,0.0,0.0,15.0,12.0,12.0,25736.0,30605.0,47.0,289.0,104.0,50.0,0.0,1.0,0.0,0.0,12.0,15.0,13.0,-3102.0,-3.0,-971.0,0.0,0.0,0.0
4,1.0,23638.0,27032.0,43.0,248.0,46.0,19.0,0.0,2.0,1.0,0.0,7.0,8.0,9.0,26485.0,31225.0,48.0,329.0,84.0,25.0,1.0,0.0,0.0,0.0,8.0,7.0,3.0,-4193.0,-5.0,-2847.0,2.0,0.0,1.0
5,0.0,20701.0,21133.0,37.0,196.0,72.0,8.0,1.0,0.0,0.0,0.0,5.0,19.0,2.0,32934.0,34641.0,52.0,283.0,84.0,188.0,3.0,1.0,1.0,0.0,19.0,5.0,18.0,-13508.0,-15.0,-12233.0,-1.0,0.0,-1.0
6,0.0,27627.0,31062.0,48.0,318.0,75.0,24.0,0.0,1.0,0.0,0.0,14.0,8.0,15.0,25740.0,29268.0,46.0,294.0,76.0,26.0,2.0,0.0,1.0,0.0,8.0,14.0,7.0,1794.0,2.0,1887.0,1.0,0.0,-1.0
7,1.0,23416.0,28310.0,45.0,275.0,85.0,25.0,1.0,1.0,0.0,0.0,7.0,13.0,5.0,28666.0,32857.0,49.0,305.0,90.0,25.0,2.0,1.0,1.0,0.0,13.0,7.0,14.0,-4547.0,-4.0,-5250.0,0.0,0.0,-1.0
8,1.0,29591.0,33455.0,50.0,294.0,124.0,22.0,0.0,2.0,0.0,0.0,16.0,17.0,12.0,31728.0,31910.0,49.0,300.0,64.0,38.0,2.0,0.0,0.0,0.0,17.0,16.0,23.0,1545.0,1.0,-2137.0,2.0,0.0,0.0
9,1.0,23442.0,27552.0,45.0,258.0,68.0,20.0,1.0,1.0,1.0,0.0,7.0,11.0,11.0,28491.0,31806.0,49.0,346.0,72.0,69.0,0.0,0.0,0.0,0.0,11.0,7.0,9.0,-4254.0,-4.0,-5049.0,1.0,0.0,1.0
10,0.0,27141.0,31351.0,47.0,345.0,68.0,29.0,1.0,0.0,1.0,0.0,11.0,10.0,10.0,26624.0,30952.0,47.0,368.0,90.0,26.0,0.0,2.0,0.0,0.0,10.0,11.0,10.0,399.0,0.0,517.0,-2.0,0.0,1.0
11,0.0,27621.0,31337.0,48.0,302.0,87.0,26.0,1.0,0.0,1.0,0.0,11.0,11.0,14.0,27612.0,32003.0,49.0,339.0,84.0,51.0,0.0,2.0,0.0,0.0,11.0,11.0,12.0,-666.0,-1.0,9.0,-2.0,0.0,1.0
12,0.0,27937.0,30683.0,47.0,257.0,72.0,19.0,0.0,1.0,0.0,0.0,19.0,18.0,15.0,26142.0,28022.0,44.0,254.0,48.0,366.0,0.0,0.0,0.0,0.0,18.0,19.0,14.0,2661.0,3.0,1795.0,1.0,0.0,0.0
13,0.0,26228.0,31099.0,48.0,274.0,72.0,16.0,0.0,2.0,1.0,0.0,13.0,16.0,4.0,28392.0,32526.0,49.0,271.0,56.0,37.0,0.0,0.0,0.0,0.0,16.0,13.0,14.0,-1427.0,-1.0,-2164.0,2.0,0.0,1.0
14,0.0,20937.0,26170.0,42.0,223.0,48.0,36.0,0.0,0.0,0.0,0.0,9.0,16.0,4.0,30892.0,33909.0,51.0,355.0,103.0,46.0,1.0,2.0,0.0,0.0,16.0,9.0,12.0,-7739.0,-9.0,-9955.0,-2.0,0.0,0.0
15,0.0,24483.0,30477.0,48.0,323.0,84.0,27.0,0.0,1.0,0.0,0.0,8.0,4.0,5.0,22298.0,29089.0,46.0,276.0,80.0,17.0,0.0,1.0,1.0,0.0,4.0,8.0,3.0,1388.0,2.0,2185.0,0.0,0.0,-1.0
16,1.0,29522.0,33231.0,49.0,333.0,86.0,20.0,0.0,1.0,0.0,0.0,16.0,9.0,14.0,25467.0,29677.0,46.0,251.0,93.0,21.0,0.0,0.0,0.0,0.0,9.0,16.0,6.0,3554.0,3.0,4055.0,1.0,0.0,0.0
17,1.0,26192.0,30144.0,47.0,278.0,84.0,31.0,1.0,1.0,0.0,0.0,12.0,14.0,8.0,25172.0,28524.0,45.0,281.0,64.0,48.0,0.0,0.0,0.0,0.0,14.0,12.0,14.0,1620.0,2.0,1020.0,1.0,0.0,0.0
18,0.0,24744.0,29215.0,47.0,338.0,100.0,44.0,0.0,2.0,0.0,0.0,6.0,11.0,9.0,27728.0,31157.0,47.0,319.0,49.0,276.0,1.0,0.0,1.0,0.0,11.0,6.0,13.0,-1942.0,0.0,-2984.0,2.0,0.0,-1.0
19,1.0,31905.0,27741.0,45.0,259.0,63.0,28.0,2.0,1.0,0.0,0.0,20.0,20.0,19.0,28497.0,27036.0,45.0,216.0,47.0,48.0,1.0,0.0,0.0,0.0,20.0,20.0,20.0,705.0,0.0,3408.0,1.0,0.0,0.0
20,0.0,25354.0,29464.0,47.0,289.0,76.0,23.0,1.0,1.0,0.0,0.0,9.0,11.0,10.0,27433.0,32267.0,48.0,327.0,95.0,27.0,0.0,1.0,1.0,0.0,11.0,9.0,8.0,-2803.0,-1.0,-2079.0,0.0,0.0,-1.0
21,0.0,25731.0,29513.0,46.0,221.0,62.0,17.0,1.0,1.0,0.0,0.0,15.0,11.0,14.0,28246.0,30064.0,47.0,233.0,57.0,25.0,0.0,1.0,1.0,0.0,11.0,15.0,12.0,-551.0,-1.0,-2515.0,0.0,0.0,-1.0
22,1.0,31911.0,32190.0,49.0,321.0,56.0,27.0,1.0,1.0,1.0,0.0,25.0,11.0,20.0,26707.0,28833.0,46.0,290.0,68.0,25.0,0.0,0.0,0.0,0.0,11.0,25.0,11.0,3357.0,3.0,5204.0,1.0,0.0,1.0
23,1.0,26723.0,30360.0,47.0,281.0,65.0,24.0,0.0,1.0,0.0,0.0,13.0,6.0,15.0,22594.0,26009.0,43.0,256.0,43.0,24.0,0.0,1.0,0.0,0.0,6.0,13.0,8.0,4351.0,4.0,4129.0,0.0,0.0,0.0
24,0.0,25032.0,30021.0,47.0,257.0,76.0,17.0,1.0,1.0,1.0,0.0,8.0,16.0,2.0,28582.0,32340.0,48.0,333.0,76.0,24.0,0.0,1.0,0.0,0.0,16.0,8.0,12.0,-2319.0,-1.0,-3550.0,0.0,0.0,1.0
25,1.0,30192.0,32671.0,50.0,325.0,72.0,27.0,1.0,2.0,1.0,0.0,15.0,11.0,13.0,26070.0,29769.0,47.0,306.0,64.0,29.0,0.0,0.0,0.0,0.0,11.0,15.0,9.0,2902.0,3.0,4122.0,2.0,0.0,1.0
26,0.0,25421.0,29404.0,46.0,250.0,52.0,18.0,0.0,0.0,1.0,0.0,14.0,15.0,9.0,27734.0,29912.0,46.0,281.0,68.0,42.0,0.0,0.0,0.0,0.0,15.0,14.0,14.0,-508.0,0.0,-2313.0,0.0,0.0,1.0
27,0.0,28418.0,30514.0,48.0,284.0,82.0,99.0,0.0,1.0,0.0,0.0,14.0,18.0,13.0,31156.0,31077.0,47.0,347.0,60.0,30.0,1.0,1.0,1.0,0.0,18.0,14.0,15.0,-563.0,1.0,-2738.0,0.0,0.0,-1.0
28,0.0,26569.0,29340.0,46.0,237.0,88.0,60.0,1.0,2.0,0.0,0.0,11.0,19.0,14.0,30493.0,33094.0,49.0,332.0,55.0,56.0,1.0,0.0,1.0,0.0,19.0,11.0,14.0,-3754.0,-3.0,-3924.0,2.0,0.0,-1.0
29,1.0,27444.0,33826.0,50.0,328.0,62.0,28.0,0.0,1.0,0.0,0.0,15.0,16.0,12.0,31193.0,33699.0,50.0,347.0,69.0,90.0,2.0,1.0,1.0,0.0,16.0,15.0,11.0,127.0,0.0,-3749.0,0.0,0.0,-1.0
30,0.0,26847.0,28200.0,46.0,284.0,84.0,19.0,1.0,1.0,0.0,0.0,14.0,16.0,8.0,27682.0,31926.0,49.0,273.0,56.0,46.0,0.0,0.0,0.0,0.0,16.0,14.0,11.0,-3726.0,-3.0,-835.0,1.0,0.0,0.0
