,blueWin,blueGold,blueExp,blueLvl,blueCS,blueJngCS,blueVisionScore,blueTowerScore,blueDrakeScore,blueHeraldScore,blueBaronScore,blueKillScore,blueDeathScore,blueAssistScore,redGold,redExp,redLvl,redCS,redJngCS,redVisionScore,redTowerScore,redDrakeScore,redHeraldScore,redBaronScore,redKillScore,redDeathScore,redAssistScore,blueExpDiff,blueLvlDiff,blueGoldDiff,blueDrakeDiff,blueBaronDiff,blueHeraldDiff
0,0.0,51022.0,54830.0,66.0,480.0,84.0,42.0,5.0,0.0,1.0,0.0,31.0,40.0,27.0,53251.0,63667.0,71.0,504.0,162.0,82.0,2.0,3.0,0.0,0.0,40.0,31.0,28.0,-8837.0,-5.0,-2229.0,-3.0,0.0,1.0
1,0.0,45408.0,52172.0,64.0,436.0,90.0,51.0,4.0,0.0,0.0,0.0,26.0,20.0,31.0,44187.0,48891.0,62.0,470.0,110.0,53.0,5.0,3.0,1.0,0.0,20.0,26.0,12.0,3281.0,2.0,1221.0,-3.0,0.0,-1.0
2,0.0,52977.0,60240.0,71.0,434.0,126.0,49.0,3.0,1.0,1.0,1.0,37.0,31.0,42.0,51152.0,55986.0,66.0,474.0,130.0,473.0,4.0,3.0,0.0,0.0,31.0,37.0,39.0,4254.0,5.0,1825.0,-2.0,1.0,1.0
3,0.0,41752.0,46685.0,60.0,413.0,91.0,68.0,2.0,1.0,1.0,0.0,25.0,29.0,29.0,48025.0,55463.0,67.0,445.0,158.0,104.0,3.0,3.0,0.0,0.0,29.0,25.0,34.0,-8778.0,-7.0,-6273.0,-2.0,0.0,1.0
4,0.0,50497.0,56886.0,67.0,443.0,139.0,53.0,4.0,2.0,0.0,1.0,31.0,26.0,36.0,49711.0,56538.0,68.0,432.0,132.0,42.0,4.0,1.0,2.0,0.0,26.0,31.0,36.0,348.0,-1.0,786.0,1.0,1.0,-2.0
5,1.0,46075.0,53991.0,65.0,481.0,141.0,60.0,3.0,1.0,0.0,0.0,22.0,20.0,26.0,46102.0,52243.0,62.0,526.0,127.0,48.0,5.0,3.0,2.0,0.0,20.0,22.0,22.0,1748.0,3.0,-27.0,-2.0,0.0,-2.0
6,1.0,55404.0,64277.0,71.0,523.0,216.0,38.0,5.0,3.0,0.0,1.0,28.0,31.0,31.0,52675.0,56717.0,66.0,477.0,128.0,100.0,5.0,1.0,1.0,0.0,31.0,28.0,48.0,7560.0,5.0,2729.0,2.0,1.0,-1.0
7,1.0,44347.0,50403.0,63.0,411.0,109.0,54.0,6.0,2.0,1.0,0.0,22.0,25.0,36.0,51018.0,56333.0,66.0,513.0,144.0,154.0,2.0,1.0,1.0,0.0,25.0,22.0,20.0,-5930.0,-3.0,-6671.0,1.0,0.0,0.0
8,0.0,49944.0,57937.0,68.0,511.0,123.0,58.0,5.0,1.0,1.0,0.0,28.0,27.0,34.0,54249.0,63120.0,70.0,593.0,175.0,59.0,3.0,3.0,1.0,1.0,27.0,28.0,29.0,-5183.0,-2.0,-4305.0,-2.0,-1.0,0.0
9,0.0,49791.0,52831.0,64.0,385.0,109.0,29.0,5.0,1.0,1.0,0.0,35.0,40.0,29.0,51195.0,56965.0,68.0,394.0,64.0,603.0,3.0,1.0,0.0,0.0,40.0,35.0,48.0,-4134.0,-4.0,-1404.0,0.0,0.0,1.0
10,0.0,47455.0,54804.0,66.0,424.0,119.0,36.0,6.0,2.0,2.0,0.0,26.0,36.0,27.0,51444.0,59583.0,68.0,459.0,106.0,90.0,2.0,2.0,0.0,0.0,36.0,26.0,50.0,-4779.0,-2.0,-3989.0,0.0,0.0,2.0
11,0.0,43226.0,53675.0,64.0,509.0,122.0,39.0,2.0,1.0,0.0,0.0,19.0,17.0,13.0,41109.0,52376.0,64.0,458.0,116.0,37.0,3.0,2.0,1.0,0.0,17.0,19.0,17.0,1299.0,0.0,2117.0,-1.0,0.0,-1.0
12,1.0,49555.0,56245.0,67.0,526.0,188.0,39.0,6.0,3.0,1.0,0.0,26.0,24.0,23.0,45134.0,54690.0,66.0,436.0,140.0,47.0,1.0,0.0,0.0,0.0,24.0,26.0,31.0,1555.0,1.0,4421.0,3.0,0.0,1.0
13,1.0,50614.0,54192.0,65.0,431.0,182.0,82.0,7.0,3.0,1.0,0.0,31.0,23.0,35.0,40834.0,45940.0,59.0,424.0,80.0,104.0,0.0,0.0,0.0,0.0,23.0,31.0,28.0,8252.0,6.0,9780.0,3.0,0.0,1.0
14,0.0,44415.0,49800.0,61.0,544.0,178.0,87.0,5.0,3.0,1.0,0.0,14.0,24.0,18.0,46542.0,50438.0,62.0,490.0,88.0,522.0,4.0,1.0,1.0,0.0,24.0,14.0,33.0,-638.0,-1.0,-2127.0,2.0,0.0,0.0
15,1.0,57120.0,57236.0,66.0,482.0,131.0,44.0,9.0,3.0,1.0,0.0,42.0,48.0,30.0,53857.0,57777.0,68.0,386.0,96.0,109.0,1.0,0.0,0.0,0.0,48.0,42.0,49.0,-541.0,-2.0,3263.0,3.0,0.0,1.0
16,0.0,41148.0,49140.0,62.0,436.0,91.0,53.0,4.0,1.0,0.0,0.0,18.0,32.0,21.0,53898.0,62712.0,71.0,459.0,175.0,50.0,4.0,3.0,2.0,1.0,32.0,18.0,42.0,-13572.0,-9.0,-12750.0,-2.0,-1.0,-2.0
17,0.0,46013.0,48608.0,61.0,306.0,78.0,34.0,5.0,2.0,0.0,0.0,32.0,33.0,47.0,49631.0,52085.0,64.0,328.0,135.0,54.0,2.0,2.0,2.0,0.0,33.0,32.0,43.0,-3477.0,-3.0,-3618.0,0.0,0.0,-2.0
18,0.0,44990.0,56050.0,67.0,422.0,105.0,37.0,3.0,1.0,2.0,0.0,24.0,35.0,29.0,51689.0,59879.0,69.0,525.0,143.0,56.0,3.0,3.0,0.0,0.0,35.0,24.0,35.0,-3829.0,-2.0,-6699.0,-2.0,0.0,2.0
19,1.0,52058.0,57024.0,67.0,502.0,153.0,61.0,4.0,4.0,2.0,0.0,32.0,16.0,37.0,42461.0,50167.0,62.0,490.0,105.0,65.0,1.0,0.0,0.0,0.0,16.0,32.0,19.0,6857.0,5.0,9597.0,4.0,0.0,2.0
20,0.0,44446.0,51623.0,63.0,452.0,64.0,35.0,4.0,0.0,2.0,0.0,27.0,35.0,21.0,52691.0,60059.0,69.0,491.0,133.0,88.0,4.0,2.0,0.0,0.0,35.0,27.0,31.0,-8436.0,-6.0,-8245.0,-2.0,0.0,2.0
21,0.0,53720.0,59420.0,69.0,459.0,141.0,172.0,4.0,2.0,0.0,0.0,36.0,39.0,67.0,58571.0,63048.0,70.0,539.0,147.0,60.0,5.0,2.0,1.0,1.0,39.0,36.0,48.0,-3628.0,-1.0,-4851.0,0.0,-1.0,-1.0
22,1.0,55188.0,69028.0,75.0,512.0,139.0,69.0,7.0,1.0,1.0,1.0,36.0,30.0,50.0,52054.0,58582.0,68.0,576.0,125.0,165.0,4.0,3.0,1.0,0.0,30.0,36.0,20.0,10446.0,7.0,3134.0,-2.0,1.0,0.0
23,0.0,47514.0,54326.0,65.0,489.0,123.0,34.0,6.0,1.0,0.0,0.0,26.0,41.0,18.0,53049.0,61257.0,69.0,463.0,120.0,90.0,3.0,2.0,1.0,0.0,41.0,26.0,43.0,-6931.0,-4.0,-5535.0,-1.0,0.0,-1.0
24,0.0,41902.0,48477.0,61.0,482.0,114.0,56.0,2.0,1.0,1.0,0.0,21.0,25.0,20.0,50223.0,58747.0,68.0,453.0,166.0,281.0,5.0,2.0,1.0,0.0,25.0,21.0,39.0,-10270.0,-7.0,-8321.0,-1.0,0.0,0.0
25,0.0,50476.0,58623.0,67.0,441.0,136.0,26.0,6.0,2.0,2.0,0.0,31.0,28.0,28.0,49996.0,53912.0,65.0,457.0,123.0,40.0,3.0,2.0,0.0,0.0,28.0,31.0,31.0,4711.0,2.0,480.0,0.0,0.0,2.0
26,0.0,46965.0,58276.0,68.0,457.0,113.0,138.0,2.0,1.0,0.0,0.0,26.0,31.0,37.0,54250.0,61005.0,69.0,565.0,194.0,56.0,5.0,3.0,2.0,1.0,31.0,26.0,34.0,-2729.0,-1.0,-7285.0,-2.0,-1.0,-2.0
27,0.0,45024.0,50044.0,63.0,431.0,98.0,41.0,4.0,1.0,0.0,0.0,25.0,33.0,29.0,51805.0,57949.0,67.0,463.0,163.0,365.0,3.0,2.0,2.0,0.0,33.0,25.0,36.0,-7905.0,-4.0,-6781.0,-1.0,0.0,-2.0
28,0.0,48549.0,52609.0,64.0,438.0,92.0,79.0,4.0,2.0,1.0,0.0,34.0,29.0,44.0,45869.0,48444.0,61.0,390.0,116.0,94.0,2.0,1.0,1.0,0.0,29.0,34.0,35.0,4165.0,3.0,2680.0,1.0,0.0,0.0
29,1.0,52335.0,61718.0,70.0,592.0,162.0,57.0,5.0,2.0,1.0,0.0,29.0,21.0,27.0,44544.0,54517.0,66.0,456.0,112.0,40.0,1.0,2.0,0.0,0.0,21.0,29.0,36.0,7201.0,4.0,7791.0,0.0,0.0,1.0
30,1.0,49042.0,57239.0,67.0,536.0,142.0,128.0,4.0,3.0,1.0,0.0,25.0,37.0,32.0,56064.0,68056.0,75.0,534.0,186.0,132.0,4.0,1.0,0.0,1.0,37.0,25.0,37.0,-10817.0,-8.0,-7022.0,2.0,-1.0,1.0
31,1.0,47755.0,52873.0,64.0,489.0,101.0,55.0,4.0,2.0,0.0,0.0,23.0,32.0,35.0,47646.0,52466.0,65.0,437.0,138.0,121.0,4.0,2.0,2.0,0.0,32.0,23.0,42.0,407.0,-1.0,109.0,0.0,0.0,-2.0
32,1.0,52075.0,62464.0,71.0,469.0,176.0,48.0,4.0,4.0,1.0,0.0,30.0,22.0,36.0,46884.0,53277.0,64.0,541.0,131.0,38.0,2.0,0.0,0.0,0.0,22.0,30.0,23.0,9187.0,7.0,5191.0,4.0,0.0,1.0
33,0.0,49736.0,57454.0,68.0,540.0,104.0,62.0,4.0,1.0,1.0,0.0,25.0,36.0,28.0,57487.0,65238.0,72.0,516.0,142.0,75.0,6.0,3.0,1.0,1.0,36.0,25.0,51.0,-7784.0,-4.0,-7751.0,-2.0,-1.0,0.0
34,0.0,50362.0,55738.0,67.0,424.0,71.0,51.0,4.0,0.0,1.0,0.0,32.0,42.0,50.0,56263.0,59309.0,68.0,451.0,174.0,45.0,6.0,3.0,1.0,0.0,42.0,32.0,40.0,-3571.0,-1.0,-5901.0,-3.0,0.0,0.0
35,1.0,54151.0,63025.0,71.0,493.0,129.0,42.0,9.0,0.0,1.0,1.0,33.0,23.0,35.0,43850.0,54440.0,64.0,500.0,117.0,39.0,1.0,3.0,0.0,0.0,23.0,33.0,19.0,8585.0,7.0,10301.0,-3.0,1.0,1.0
36,1.0,55080.0,62542.0,70.0,491.0,104.0,332.0,8.0,1.0,1.0,0.0,48.0,23.0,37.0,44996.0,49007.0,62.0,468.0,76.0,257.0,1.0,2.0,0.0,0.0,23.0,48.0,23.0,13535.0,8.0,10084.0,-1.0,0.0,1.0
37,1.0,53219.0,64722.0,73.0,385.0,121.0,54.0,5.0,2.0,1.0,1.0,40.0,35.0,58.0,55426.0,63603.0,71.0,558.0,141.0,67.0,3.0,1.0,1.0,0.0,35.0,40.0,25.0,1119.0,2.0,-2207.0,1.0,1.0,0.0
38,0.0,47287.0,57248.0,69.0,466.0,107.0,60.0,5.0,0.0,1.0,0.0,22.0,51.0,23.0,56173.0,62831.0,69.0,423.0,149.0,48.0,3.0,3.0,0.0,0.0,51.0,22.0,65.0,-5583.0,0.0,-8886.0,-3.0,0.0,1.0
39,0.0,48544.0,52498.0,64.0,403.0,106.0,119.0,5.0,1.0,0.0,0.0,29.0,32.0,34.0,52213.0,59283.0,69.0,399.0,147.0,76.0,2.0,2.0,1.0,0.0,32.0,29.0,42.0,-6785.0,-5.0,-3669.0,-1.0,0.0,-1.0
40,1.0,57154.0,62088.0,70.0,559.0,132.0,64.0,9.0,1.0,1.0,1.0,35.0,21.0,40.0,45388.0,51623.0,63.0,451.0,104.0,555.0,1.0,2.0,1.0,0.0,21.0,35.0,23.0,10465.0,7.0,11766.0,-1.0,1.0,0.0
41,0.0,48097.0,58683.0,68.0,549.0,139.0,165.0,4.0,1.0,2.0,0.0,17.0,32.0,20.0,56698.0,65159.0,73.0,562.0,182.0,64.0,6.0,3.0,0.0,1.0,32.0,17.0,45.0,-6476.0,-5.0,-8601.0,-2.0,-1.0,2.0
42,0.0,47289.0,54157.0,66.0,456.0,132.0,44.0,2.0,2.0,1.0,0.0,32.0,36.0,36.0,54605.0,63635.0,71.0,468.0,144.0,136.0,4.0,2.0,1.0,0.0,36.0,32.0,47.0,-9478.0,-5.0,-7316.0,0.0,0.0,0.0
43,0.0,47325.0,51821.0,64.0,361.0,131.0,38.0,4.0,1.0,1.0,0.0,30.0,30.0,24.0,49836.0,58594.0,68.0,394.0,96.0,38.0,4.0,3.0,0.0,1.0,30.0,30.0,41.0,-6773.0,-4.0,-2511.0,-2.0,-1.0,1.0
