,blueWin,blueGold,blueExp,blueLvl,blueCS,blueJngCS,blueVisionScore,blueTowerScore,blueDrakeScore,blueHeraldScore,blueBaronScore,blueKillScore,blueDeathScore,blueAssistScore,redGold,redExp,redLvl,redCS,redJngCS,redVisionScore,redTowerScore,redDrakeScore,redHeraldScore,redBaronScore,redKillScore,redDeathScore,redAssistScore,blueExpDiff,blueLvlDiff,blueGoldDiff,blueDrakeDiff,blueBaronDiff,blueHeraldDiff
0,0.0,26908.0,29337.0,46.0,293.0,48.0,19.0,0.0,0.0,0.0,0.0,15.0,11.0,11.0,25082.0,29265.0,46.0,287.0,76.0,30.0,0.0,1.0,0.0,0.0,11.0,15.0,4.0,72.0,0.0,1826.0,-1.0,0.0,0.0
1,0.0,20284.0,24081.0,41.0,239.0,52.0,18.0,0.0,0.0,0.0,0.0,9.0,10.0,7.0,21261.0,24970.0,42.0,249.0,40.0,25.0,0.0,1.0,0.0,0.0,10.0,9.0,6.0,-889.0,-1.0,-977.0,-1.0,0.0,0.0
2,0.0,23698.0,26213.0,42.0,274.0,52.0,19.0,0.0,1.0,0.0,0.0,11.0,11.0,8.0,22811.0,25707.0,41.0,265.0,52.0,370.0,0.0,1.0,0.0,0.0,11.0,11.0,11.0,506.0,1.0,887.0,0.0,0.0,0.0
3,0.0,21699.0,23677.0,40.0,251.0,44.0,23.0,0.0,1.0,0.0,0.0,13.0,8.0,11.0,22321.0,27023.0,44.0,255.0,92.0,41.0,0.0,0.0,0.0,0.0,8.0,13.0,7.0,-3346.0,-4.0,-622.0,1.0,0.0,0.0
4,1.0,19992.0,23044.0,40.0,211.0,46.0,14.0,0.0,1.0,1.0,0.0,6.0,6.0,8.0,22012.0,27041.0,44.0,282.0,80.0,20.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,-3997.0,-4.0,-2020.0,1.0,0.0,1.0
5,0.0,18239.0,18182.0,33.0,168.0,70.0,8.0,1.0,0.0,0.0,0.0,4.0,16.0,1.0,27888.0,29469.0,47.0,254.0,68.0,186.0,1.0,1.0,0.0,0.0,16.0,4.0,12.0,-11287.0,-14.0,-9649.0,-1.0,0.0,0.0
6,0.0,24697.0,27392.0,44.0,284.0,75.0,18.0,0.0,1.0,0.0,0.0,12.0,6.0,13.0,21464.0,25167.0,42.0,273.0,64.0,23.0,0.0,0.0,1.0,0.0,6.0,12.0,5.0,2225.0,2.0,3233.0,1.0,0.0,-1.0
7,1.0,19271.0,23996.0,42.0,228.0,73.0,20.0,0.0,1.0,0.0,0.0,6.0,10.0,4.0,25525.0,28792.0,45.0,272.0,74.0,21.0,1.0,1.0,1.0,0.0,10.0,6.0,6.0,-4796.0,-3.0,-6254.0,0.0,0.0,-1.0
8,1.0,25820.0,28368.0,45.0,247.0,100.0,21.0,0.0,1.0,0.0,0.0,10.0,15.0,8.0,27474.0,26946.0,43.0,251.0,56.0,28.0,2.0,0.0,0.0,0.0,15.0,10.0,22.0,1422.0,2.0,-1654.0,1.0,0.0,0.0
9,1.0,20306.0,23521.0,40.0,231.0,56.0,16.0,1.0,1.0,1.0,0.0,3.0,10.0,2.0,23935.0,26167.0,44.0,285.0,68.0,55.0,0.0,0.0,0.0,0.0,10.0,3.0,8.0,-2646.0,-4.0,-3629.0,1.0,0.0,1.0
