,blueWin,blueGold,blueExp,blueLvl,blueCS,blueJngCS,blueVisionScore,blueTowerScore,blueDrakeScore,blueHeraldScore,blueBaronScore,blueKillScore,blueDeathScore,blueAssistScore,redGold,redExp,redLvl,redCS,redJngCS,redVisionScore,redTowerScore,redDrakeScore,redHeraldScore,redBaronScore,redKillScore,redDeathScore,redAssistScore,blueExpDiff,blueLvlDiff,blueGoldDiff,blueDrakeDiff,blueBaronDiff,blueHeraldDiff
0,0.0,61929.0,68672.0,74.0,556.0,85.0,62.0,5.0,0.0,1.0,0.0,38.0,52.0,38.0,69589.0,85052.0,82.0,585.0,216.0,106.0,5.0,4.0,0.0,1.0,52.0,38.0,41.0,-16380.0,-8.0,-7660.0,-4.0,-1.0,1.0
1,0.0,59433.0,71598.0,76.0,493.0,118.0,63.0,10.0,1.0,0.0,1.0,38.0,25.0,47.0,55949.0,63723.0,70.0,560.0,120.0,64.0,6.0,3.0,1.0,0.0,25.0,38.0,17.0,7875.0,6.0,3484.0,-2.0,1.0,-1.0
2,0.0,59483.0,68771.0,76.0,558.0,151.0,67.0,6.0,2.0,0.0,1.0,36.0,35.0,50.0,63150.0,75333.0,79.0,505.0,192.0,61.0,6.0,3.0,2.0,1.0,35.0,36.0,59.0,-6562.0,-3.0,-3667.0,-1.0,0.0,-2.0
3,1.0,62597.0,73799.0,77.0,589.0,185.0,77.0,7.0,2.0,0.0,0.0,37.0,24.0,48.0,56139.0,64176.0,72.0,621.0,138.0,65.0,7.0,3.0,2.0,0.0,24.0,37.0,30.0,9623.0,5.0,6458.0,-1.0,0.0,-2.0
4,1.0,69785.0,83135.0,80.0,628.0,266.0,48.0,6.0,4.0,0.0,2.0,37.0,40.0,37.0,64071.0,71794.0,75.0,556.0,142.0,132.0,5.0,1.0,1.0,0.0,40.0,37.0,63.0,11341.0,5.0,5714.0,3.0,2.0,-1.0
5,1.0,59341.0,72133.0,77.0,519.0,142.0,73.0,8.0,2.0,1.0,1.0,34.0,33.0,59.0,58494.0,63073.0,71.0,554.0,176.0,196.0,3.0,2.0,1.0,0.0,33.0,34.0,28.0,9060.0,6.0,847.0,0.0,1.0,0.0
6,0.0,64849.0,81443.0,81.0,604.0,163.0,78.0,6.0,2.0,1.0,1.0,41.0,34.0,53.0,63706.0,74105.0,76.0,681.0,224.0,82.0,4.0,3.0,1.0,1.0,34.0,41.0,35.0,7338.0,5.0,1143.0,-1.0,0.0,0.0
7,0.0,62538.0,71019.0,76.0,464.0,129.0,38.0,6.0,1.0,1.0,0.0,47.0,52.0,45.0,61790.0,68349.0,73.0,445.0,93.0,678.0,4.0,2.0,0.0,0.0,52.0,47.0,60.0,2670.0,3.0,748.0,-1.0,0.0,1.0
8,0.0,52330.0,64197.0,71.0,592.0,158.0,50.0,4.0,1.0,0.0,0.0,24.0,21.0,17.0,51121.0,64387.0,72.0,562.0,167.0,47.0,3.0,3.0,1.0,0.0,21.0,24.0,24.0,-190.0,-1.0,1209.0,-2.0,0.0,-1.0
9,1.0,60366.0,68516.0,74.0,566.0,235.0,46.0,7.0,4.0,1.0,0.0,38.0,28.0,43.0,51179.0,60323.0,69.0,485.0,143.0,62.0,1.0,0.0,0.0,0.0,28.0,38.0,42.0,8193.0,5.0,9187.0,4.0,0.0,1.0
10,1.0,64161.0,72046.0,76.0,486.0,238.0,95.0,9.0,4.0,1.0,0.0,40.0,31.0,40.0,52381.0,63841.0,72.0,521.0,80.0,137.0,0.0,0.0,0.0,0.0,31.0,40.0,38.0,8205.0,4.0,11780.0,4.0,0.0,1.0
11,0.0,55504.0,64093.0,71.0,635.0,222.0,113.0,6.0,3.0,1.0,1.0,17.0,33.0,22.0,58310.0,67232.0,74.0,592.0,137.0,640.0,4.0,2.0,1.0,0.0,33.0,17.0,57.0,-3139.0,-3.0,-2806.0,1.0,1.0,0.0
12,0.0,58991.0,65736.0,72.0,392.0,94.0,41.0,7.0,3.0,0.0,0.0,42.0,41.0,67.0,60741.0,65543.0,72.0,364.0,186.0,70.0,3.0,2.0,2.0,0.0,41.0,42.0,54.0,193.0,0.0,-1750.0,1.0,0.0,-2.0
