,blueWin,blueGold,blueExp,blueLvl,blueCS,blueJngCS,blueVisionScore,blueTowerScore,blueDrakeScore,blueHeraldScore,blueBaronScore,blueKillScore,blueDeathScore,blueAssistScore,redGold,redExp,redLvl,redCS,redJngCS,redVisionScore,redTowerScore,redDrakeScore,redHeraldScore,redBaronScore,redKillScore,redDeathScore,redAssistScore,blueExpDiff,blueLvlDiff,blueGoldDiff,blueDrakeDiff,blueBaronDiff,blueHeraldDiff
0,0.0,13134.0,14736.0,31.0,157.0,36.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,11656.0,13889.0,31.0,150.0,48.0,8.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,847.0,0.0,1478.0,0.0,0.0,0.0
1,0.0,11862.0,12429.0,28.0,114.0,24.0,8.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,11775.0,12790.0,28.0,111.0,24.0,9.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,-361.0,0.0,87.0,0.0,0.0,0.0
2,0.0,11938.0,12628.0,28.0,129.0,32.0,8.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,12161.0,13832.0,29.0,141.0,40.0,194.0,0.0,1.0,0.0,0.0,3.0,5.0,1.0,-1204.0,-1.0,-223.0,-1.0,0.0,0.0
3,0.0,11638.0,12138.0,28.0,128.0,23.0,9.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,11773.0,12694.0,28.0,132.0,36.0,18.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,-556.0,0.0,-135.0,0.0,0.0,0.0
4,1.0,10943.0,12569.0,28.0,114.0,28.0,7.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,12071.0,13928.0,30.0,144.0,41.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,-1359.0,-2.0,-1128.0,0.0,0.0,0.0
5,0.0,10552.0,10531.0,24.0,95.0,38.0,6.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,13607.0,14503.0,30.0,124.0,40.0,81.0,0.0,0.0,0.0,0.0,7.0,1.0,4.0,-3972.0,-6.0,-3055.0,0.0,0.0,0.0
6,0.0,12549.0,12845.0,29.0,130.0,35.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,12660.0,13678.0,30.0,156.0,36.0,9.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,-833.0,-1.0,-111.0,0.0,0.0,0.0
7,1.0,10958.0,13366.0,29.0,116.0,36.0,9.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,11883.0,14326.0,31.0,141.0,44.0,9.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,-960.0,-2.0,-925.0,-1.0,0.0,0.0
8,1.0,11783.0,13650.0,28.0,140.0,60.0,7.0,0.0,1.0,0.0,0.0,3.0,7.0,2.0,14793.0,14340.0,31.0,140.0,44.0,11.0,0.0,0.0,0.0,0.0,7.0,3.0,7.0,-690.0,-3.0,-3010.0,1.0,0.0,0.0
9,1.0,11280.0,13612.0,29.0,139.0,40.0,7.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,12391.0,13883.0,30.0,154.0,48.0,25.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,-271.0,-1.0,-1111.0,1.0,0.0,0.0
10,0.0,11834.0,13115.0,29.0,153.0,36.0,10.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,12112.0,13398.0,29.0,175.0,40.0,8.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,-283.0,0.0,-278.0,-1.0,0.0,0.0
11,0.0,11601.0,13095.0,28.0,123.0,48.0,8.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,13649.0,13661.0,29.0,161.0,32.0,11.0,0.0,1.0,0.0,0.0,6.0,3.0,6.0,-566.0,-1.0,-2048.0,-1.0,0.0,0.0
12,0.0,12748.0,12451.0,28.0,114.0,32.0,6.0,0.0,0.0,0.0,0.0,7.0,8.0,4.0,13039.0,12728.0,29.0,113.0,28.0,186.0,0.0,0.0,0.0,0.0,8.0,7.0,8.0,-277.0,-1.0,-291.0,0.0,0.0,0.0
13,0.0,10599.0,13455.0,29.0,113.0,36.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,10792.0,12635.0,28.0,101.0,30.0,9.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,820.0,1.0,-193.0,0.0,0.0,0.0
14,0.0,11387.0,12929.0,28.0,97.0,28.0,7.0,0.0,0.0,0.0,0.0,4.0,7.0,2.0,14027.0,14310.0,30.0,149.0,48.0,9.0,0.0,0.0,0.0,0.0,7.0,4.0,6.0,-1381.0,-2.0,-2640.0,0.0,0.0,0.0
15,1.0,14332.0,14089.0,29.0,156.0,44.0,8.0,0.0,1.0,0.0,0.0,7.0,1.0,3.0,10314.0,11235.0,27.0,114.0,48.0,10.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,2854.0,2.0,4018.0,1.0,0.0,0.0
16,0.0,12044.0,13075.0,29.0,135.0,40.0,10.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,10899.0,13182.0,29.0,128.0,44.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,-107.0,0.0,1145.0,0.0,0.0,0.0
17,1.0,11923.0,13676.0,30.0,144.0,45.0,6.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,12832.0,13641.0,29.0,129.0,49.0,10.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,35.0,1.0,-909.0,0.0,0.0,0.0
18,1.0,11729.0,13464.0,30.0,145.0,40.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10479.0,12605.0,30.0,152.0,36.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,859.0,0.0,1250.0,0.0,0.0,0.0
19,0.0,12396.0,12976.0,28.0,171.0,48.0,15.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,12332.0,13259.0,29.0,139.0,30.0,104.0,0.0,0.0,0.0,0.0,4.0,3.0,8.0,-283.0,-1.0,64.0,0.0,0.0,0.0
20,1.0,13673.0,12262.0,28.0,133.0,35.0,10.0,0.0,0.0,0.0,0.0,6.0,7.0,7.0,12182.0,11651.0,27.0,114.0,23.0,13.0,0.0,0.0,0.0,0.0,7.0,6.0,6.0,611.0,1.0,1491.0,0.0,0.0,0.0
21,0.0,12968.0,14445.0,30.0,143.0,44.0,8.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,11680.0,13463.0,30.0,149.0,44.0,11.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,982.0,0.0,1288.0,-1.0,0.0,0.0
22,0.0,11299.0,13655.0,30.0,110.0,48.0,8.0,0.0,1.0,0.0,0.0,3.0,4.0,3.0,11751.0,13123.0,29.0,100.0,36.0,6.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,532.0,1.0,-452.0,1.0,0.0,0.0
23,1.0,13507.0,14019.0,29.0,140.0,33.0,8.0,0.0,0.0,0.0,0.0,8.0,2.0,8.0,11761.0,12423.0,28.0,140.0,40.0,8.0,0.0,0.0,0.0,0.0,2.0,8.0,3.0,1596.0,1.0,1746.0,0.0,0.0,0.0
24,1.0,12111.0,12438.0,29.0,138.0,29.0,10.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,11404.0,12022.0,27.0,117.0,23.0,12.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,416.0,2.0,707.0,0.0,0.0,0.0
25,0.0,10368.0,12028.0,28.0,130.0,28.0,9.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,13272.0,11893.0,26.0,120.0,28.0,11.0,0.0,0.0,0.0,0.0,6.0,2.0,5.0,135.0,2.0,-2904.0,0.0,0.0,0.0
26,1.0,12635.0,12752.0,27.0,127.0,40.0,7.0,0.0,1.0,0.0,0.0,5.0,1.0,5.0,11139.0,11897.0,27.0,134.0,34.0,9.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,855.0,0.0,1496.0,1.0,0.0,0.0
27,0.0,11933.0,12335.0,27.0,107.0,24.0,6.0,0.0,0.0,0.0,0.0,6.0,5.0,3.0,11730.0,11453.0,27.0,103.0,28.0,14.0,0.0,0.0,0.0,0.0,5.0,6.0,3.0,882.0,0.0,203.0,0.0,0.0,0.0
28,0.0,12874.0,12531.0,28.0,124.0,44.0,37.0,0.0,0.0,0.0,0.0,5.0,9.0,5.0,13832.0,12361.0,28.0,138.0,36.0,11.0,0.0,0.0,0.0,0.0,9.0,5.0,5.0,170.0,0.0,-958.0,0.0,0.0,0.0
29,0.0,11108.0,12014.0,26.0,124.0,44.0,24.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,12835.0,13790.0,30.0,167.0,27.0,22.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,-1776.0,-4.0,-1727.0,0.0,0.0,0.0
30,1.0,12148.0,13075.0,29.0,150.0,28.0,11.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,13852.0,13792.0,29.0,165.0,36.0,37.0,0.0,1.0,0.0,0.0,4.0,3.0,3.0,-717.0,0.0,-1704.0,-1.0,0.0,0.0
31,0.0,12884.0,13709.0,30.0,142.0,40.0,6.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,11359.0,13109.0,29.0,136.0,32.0,9.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,600.0,1.0,1525.0,0.0,0.0,0.0
32,0.0,13009.0,14250.0,30.0,155.0,36.0,5.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,11381.0,13024.0,28.0,145.0,44.0,51.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,1226.0,2.0,1628.0,0.0,0.0,0.0
33,0.0,11929.0,13538.0,29.0,125.0,35.0,6.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,12313.0,13108.0,29.0,122.0,44.0,8.0,0.0,1.0,0.0,0.0,5.0,2.0,3.0,430.0,0.0,-384.0,-1.0,0.0,0.0
34,0.0,12243.0,12812.0,28.0,100.0,32.0,18.0,0.0,0.0,0.0,0.0,4.0,6.0,5.0,13611.0,13216.0,30.0,156.0,44.0,10.0,0.0,1.0,0.0,0.0,6.0,4.0,3.0,-404.0,-2.0,-1368.0,-1.0,0.0,0.0
35,0.0,11595.0,12743.0,28.0,148.0,28.0,60.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,12227.0,13346.0,29.0,144.0,40.0,7.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,-603.0,-1.0,-632.0,0.0,0.0,0.0
36,0.0,12796.0,13966.0,29.0,125.0,36.0,13.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,12065.0,12442.0,28.0,141.0,33.0,117.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,1524.0,1.0,731.0,0.0,0.0,0.0
37,0.0,13394.0,13986.0,31.0,143.0,40.0,10.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,12882.0,13296.0,28.0,135.0,36.0,3.0,0.0,0.0,0.0,0.0,7.0,4.0,2.0,690.0,3.0,512.0,0.0,0.0,0.0
38,0.0,12485.0,12817.0,28.0,145.0,20.0,16.0,0.0,0.0,0.0,0.0,4.0,3.0,5.0,11804.0,13544.0,29.0,140.0,40.0,7.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,-727.0,-1.0,681.0,0.0,0.0,0.0
39,1.0,14570.0,13399.0,30.0,126.0,32.0,10.0,0.0,0.0,0.0,0.0,9.0,5.0,4.0,12795.0,11803.0,27.0,121.0,32.0,31.0,0.0,0.0,0.0,0.0,5.0,9.0,6.0,1596.0,3.0,1775.0,0.0,0.0,0.0
40,1.0,12414.0,13804.0,29.0,161.0,42.0,10.0,0.0,0.0,0.0,0.0,4.0,3.0,6.0,11801.0,13242.0,30.0,127.0,40.0,8.0,0.0,1.0,0.0,0.0,3.0,4.0,4.0,562.0,-1.0,613.0,-1.0,0.0,0.0
41,1.0,12227.0,13254.0,29.0,161.0,48.0,25.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,13087.0,14020.0,29.0,158.0,28.0,21.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,-766.0,0.0,-860.0,0.0,0.0,0.0
42,1.0,11034.0,12122.0,27.0,147.0,24.0,7.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,12092.0,12475.0,26.0,113.0,40.0,32.0,0.0,1.0,0.0,0.0,5.0,2.0,9.0,-353.0,1.0,-1058.0,-1.0,0.0,0.0
43,1.0,12114.0,14134.0,31.0,127.0,48.0,5.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,14207.0,14852.0,31.0,168.0,48.0,5.0,0.0,0.0,0.0,0.0,6.0,3.0,4.0,-718.0,0.0,-2093.0,0.0,0.0,0.0
44,0.0,13436.0,13613.0,30.0,151.0,28.0,9.0,0.0,0.0,0.0,0.0,5.0,6.0,4.0,13078.0,13079.0,28.0,136.0,36.0,15.0,0.0,1.0,0.0,0.0,6.0,5.0,6.0,534.0,2.0,358.0,-1.0,0.0,0.0
45,1.0,14588.0,15696.0,33.0,147.0,36.0,5.0,0.0,0.0,0.0,0.0,10.0,4.0,7.0,12687.0,12944.0,29.0,161.0,28.0,7.0,0.0,0.0,0.0,0.0,4.0,10.0,4.0,2752.0,4.0,1901.0,0.0,0.0,0.0
46,0.0,11913.0,13709.0,31.0,136.0,28.0,37.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,12946.0,14465.0,30.0,155.0,44.0,10.0,0.0,1.0,0.0,0.0,5.0,4.0,2.0,-756.0,1.0,-1033.0,-1.0,0.0,0.0
47,0.0,11668.0,11728.0,27.0,108.0,24.0,4.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,13800.0,14727.0,30.0,154.0,40.0,8.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,-2999.0,-3.0,-2132.0,0.0,0.0,0.0
48,1.0,13884.0,14068.0,30.0,165.0,36.0,7.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,11764.0,13386.0,29.0,130.0,40.0,8.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,682.0,1.0,2120.0,0.0,0.0,0.0
