,blueWin,blueGold,blueExp,blueLvl,blueCS,blueJngCS,blueVisionScore,blueTowerScore,blueInhibScore,blueDrakeScore,blueHeraldScore,blueBaronScore,blueKillScore,blueDeathScore,blueAssistScore,blueFirstHerald,blueFirstDrake,blueFirstBaron,blueFirstElder,blueDrakeSoul,redGold,redExp,redLvl,redCS,redJngCS,redVisionScore,redTowerScore,redInhibScore,redDrakeScore,redHeraldScore,redBaronScore,redKillScore,redDeathScore,redAssistScore,redFirstHerald,redFirstDrake,redFirstBaron,redFirstElder,redDrakeSoul,blueExpDiff,blueLvlDiff,blueGoldDiff,blueDrakeDiff,blueBaronDiff,blueHeraldDiff,blueTowerDiff,blueInhibDiff
0,1.0,61228.0,72254.0,77.0,512.0,217.0,67.0,8.0,3.0,4.0,1.0,1.0,34.0,23.0,37.0,1.0,0.0,1.0,0.0,1.0,49291.0,61993.0,71.0,626.0,64.0,336.0,0.0,0.0,1.0,0.0,0.0,23.0,34.0,27.0,0.0,1.0,0.0,0.0,0.0,10261.0,6.0,11937.0,3.0,1.0,1.0,8.0,3.0
1,1.0,60130.0,73655.0,77.0,450.0,103.0,43.0,4.0,0.0,3.0,0.0,1.0,43.0,29.0,74.0,0.0,1.0,1.0,0.0,0.0,53567.0,57448.0,67.0,463.0,181.0,39.0,6.0,0.0,1.0,2.0,0.0,29.0,43.0,36.0,1.0,0.0,0.0,0.0,0.0,16207.0,10.0,6563.0,2.0,1.0,-2.0,-2.0,0.0
2,0.0,57762.0,67626.0,74.0,691.0,163.0,208.0,9.0,0.0,2.0,0.0,0.0,25.0,21.0,26.0,0.0,0.0,0.0,0.0,0.0,62801.0,77277.0,78.0,843.0,205.0,81.0,5.0,1.0,3.0,1.0,1.0,21.0,25.0,16.0,1.0,1.0,1.0,0.0,0.0,-9651.0,-4.0,-5039.0,-1.0,-1.0,-1.0,4.0,-1.0
3,1.0,64785.0,76686.0,79.0,549.0,193.0,74.0,10.0,3.0,2.0,2.0,0.0,39.0,34.0,51.0,1.0,1.0,0.0,0.0,0.0,57546.0,75833.0,77.0,646.0,168.0,72.0,0.0,0.0,3.0,0.0,0.0,34.0,39.0,36.0,0.0,0.0,0.0,0.0,0.0,853.0,2.0,7239.0,-1.0,0.0,2.0,10.0,3.0
4,1.0,55493.0,66787.0,73.0,608.0,197.0,136.0,6.0,0.0,4.0,1.0,0.0,27.0,27.0,34.0,0.0,1.0,0.0,0.0,1.0,57382.0,69842.0,75.0,639.0,136.0,64.0,2.0,0.0,1.0,1.0,1.0,27.0,27.0,44.0,1.0,0.0,1.0,0.0,0.0,-3055.0,-2.0,-1889.0,3.0,-1.0,0.0,4.0,0.0
5,1.0,59210.0,72499.0,77.0,557.0,159.0,61.0,5.0,0.0,2.0,0.0,0.0,40.0,25.0,45.0,0.0,1.0,0.0,0.0,0.0,57613.0,69961.0,75.0,651.0,156.0,227.0,6.0,0.0,1.0,1.0,0.0,25.0,40.0,22.0,1.0,0.0,0.0,0.0,0.0,2538.0,2.0,1597.0,1.0,0.0,-1.0,-1.0,0.0
6,1.0,64164.0,76980.0,80.0,620.0,186.0,61.0,9.0,1.0,3.0,1.0,1.0,32.0,39.0,53.0,1.0,0.0,1.0,0.0,0.0,58465.0,66901.0,74.0,633.0,191.0,65.0,2.0,0.0,2.0,1.0,0.0,39.0,32.0,42.0,0.0,1.0,0.0,0.0,0.0,10079.0,6.0,5699.0,1.0,1.0,0.0,7.0,1.0
7,1.0,61225.0,68419.0,74.0,501.0,113.0,151.0,6.0,0.0,1.0,1.0,0.0,44.0,57.0,54.0,1.0,0.0,0.0,0.0,0.0,67650.0,72523.0,77.0,510.0,184.0,79.0,4.0,1.0,4.0,0.0,0.0,57.0,44.0,62.0,0.0,1.0,0.0,0.0,1.0,-4104.0,-3.0,-6425.0,-3.0,0.0,1.0,2.0,-1.0
8,1.0,62981.0,70575.0,76.0,573.0,155.0,54.0,5.0,0.0,1.0,1.0,1.0,39.0,43.0,53.0,0.0,0.0,1.0,0.0,0.0,63312.0,70722.0,76.0,464.0,150.0,62.0,5.0,0.0,4.0,1.0,0.0,43.0,39.0,69.0,1.0,1.0,0.0,0.0,1.0,-147.0,0.0,-331.0,-3.0,1.0,0.0,0.0,0.0
9,0.0,55391.0,66265.0,72.0,509.0,78.0,71.0,3.0,0.0,2.0,0.0,1.0,32.0,16.0,56.0,0.0,1.0,1.0,0.0,0.0,51879.0,57620.0,67.0,546.0,176.0,47.0,5.0,1.0,2.0,1.0,0.0,16.0,32.0,16.0,1.0,0.0,0.0,0.0,0.0,8645.0,5.0,3512.0,0.0,1.0,-1.0,-2.0,-1.0
10,1.0,66202.0,71215.0,76.0,495.0,200.0,142.0,7.0,1.0,3.0,2.0,1.0,47.0,43.0,67.0,1.0,1.0,1.0,0.0,0.0,63359.0,73459.0,77.0,564.0,117.0,134.0,3.0,0.0,1.0,0.0,0.0,43.0,47.0,62.0,0.0,0.0,0.0,0.0,0.0,-2244.0,-1.0,2843.0,2.0,1.0,2.0,4.0,1.0
11,0.0,56652.0,67431.0,74.0,575.0,128.0,92.0,4.0,0.0,1.0,1.0,0.0,27.0,46.0,33.0,1.0,1.0,0.0,0.0,0.0,65468.0,81408.0,83.0,542.0,198.0,59.0,5.0,1.0,3.0,1.0,1.0,46.0,27.0,46.0,0.0,0.0,1.0,0.0,0.0,-13977.0,-9.0,-8816.0,-2.0,-1.0,0.0,-1.0,-1.0
12,0.0,57142.0,60872.0,70.0,540.0,143.0,79.0,3.0,0.0,3.0,2.0,0.0,32.0,31.0,35.0,1.0,1.0,0.0,0.0,0.0,54617.0,64072.0,72.0,539.0,104.0,165.0,3.0,0.0,2.0,0.0,0.0,31.0,32.0,49.0,0.0,0.0,0.0,0.0,0.0,-3200.0,-2.0,2525.0,1.0,0.0,2.0,0.0,0.0
13,1.0,61676.0,75137.0,79.0,624.0,139.0,91.0,7.0,0.0,2.0,1.0,0.0,35.0,42.0,30.0,0.0,0.0,0.0,0.0,0.0,64179.0,77180.0,78.0,588.0,168.0,41.0,5.0,1.0,2.0,1.0,1.0,42.0,35.0,47.0,1.0,1.0,1.0,0.0,0.0,-2043.0,1.0,-2503.0,0.0,-1.0,0.0,2.0,-1.0
14,1.0,65720.0,74394.0,79.0,562.0,156.0,72.0,8.0,4.0,4.0,1.0,1.0,45.0,38.0,53.0,1.0,1.0,1.0,0.0,1.0,60697.0,75570.0,79.0,646.0,108.0,78.0,1.0,0.0,1.0,0.0,0.0,38.0,45.0,52.0,0.0,0.0,0.0,0.0,0.0,-1176.0,0.0,5023.0,3.0,1.0,1.0,7.0,4.0
15,0.0,58918.0,69014.0,75.0,420.0,142.0,51.0,5.0,0.0,3.0,1.0,2.0,32.0,30.0,51.0,1.0,1.0,1.0,0.0,0.0,54738.0,61405.0,69.0,505.0,162.0,35.0,6.0,1.0,2.0,0.0,0.0,30.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,7609.0,6.0,4180.0,1.0,2.0,1.0,-1.0,-1.0
16,0.0,60111.0,62601.0,70.0,510.0,103.0,81.0,4.0,0.0,3.0,0.0,0.0,46.0,46.0,51.0,0.0,1.0,0.0,0.0,0.0,66144.0,70604.0,75.0,487.0,136.0,470.0,5.0,1.0,2.0,1.0,1.0,46.0,46.0,57.0,1.0,0.0,1.0,0.0,0.0,-8003.0,-5.0,-6033.0,1.0,-1.0,-1.0,-1.0,-1.0
17,1.0,54655.0,65595.0,73.0,494.0,153.0,445.0,2.0,0.0,3.0,0.0,0.0,36.0,42.0,32.0,0.0,0.0,0.0,0.0,0.0,60068.0,69551.0,76.0,517.0,143.0,71.0,4.0,0.0,1.0,1.0,1.0,42.0,36.0,58.0,1.0,1.0,1.0,0.0,0.0,-3956.0,-3.0,-5413.0,2.0,-1.0,-1.0,-2.0,0.0
18,1.0,58334.0,68178.0,74.0,464.0,109.0,40.0,3.0,0.0,0.0,0.0,1.0,36.0,41.0,47.0,0.0,0.0,1.0,0.0,0.0,57390.0,65664.0,73.0,425.0,198.0,45.0,5.0,1.0,3.0,2.0,0.0,41.0,36.0,25.0,1.0,1.0,0.0,0.0,0.0,2514.0,1.0,944.0,-3.0,1.0,-2.0,-2.0,-1.0
19,0.0,49243.0,55340.0,66.0,412.0,112.0,54.0,3.0,0.0,0.0,0.0,0.0,26.0,48.0,21.0,0.0,0.0,0.0,0.0,0.0,54125.0,60072.0,69.0,348.0,151.0,57.0,2.0,0.0,4.0,2.0,0.0,48.0,26.0,37.0,1.0,1.0,0.0,0.0,1.0,-4732.0,-3.0,-4882.0,-4.0,0.0,-2.0,1.0,0.0
20,1.0,57401.0,67943.0,75.0,515.0,144.0,449.0,7.0,1.0,3.0,1.0,0.0,42.0,22.0,48.0,1.0,0.0,0.0,0.0,0.0,51112.0,64150.0,72.0,529.0,109.0,168.0,4.0,0.0,1.0,0.0,0.0,22.0,42.0,21.0,0.0,1.0,0.0,0.0,0.0,3793.0,3.0,6289.0,2.0,0.0,1.0,3.0,1.0
21,1.0,65084.0,74175.0,77.0,541.0,182.0,61.0,9.0,1.0,1.0,1.0,1.0,36.0,39.0,54.0,1.0,1.0,1.0,0.0,0.0,63961.0,75886.0,78.0,675.0,188.0,62.0,2.0,0.0,3.0,0.0,0.0,39.0,36.0,49.0,0.0,0.0,0.0,0.0,0.0,-1711.0,-1.0,1123.0,-2.0,1.0,1.0,7.0,1.0
22,1.0,60121.0,74122.0,78.0,479.0,144.0,58.0,12.0,3.0,2.0,0.0,1.0,38.0,31.0,44.0,0.0,0.0,1.0,0.0,0.0,62610.0,74529.0,78.0,626.0,142.0,35.0,2.0,0.0,3.0,1.0,1.0,31.0,38.0,30.0,1.0,1.0,0.0,0.0,0.0,-407.0,0.0,-2489.0,-1.0,0.0,-1.0,10.0,3.0
23,1.0,60192.0,69686.0,76.0,571.0,182.0,66.0,6.0,1.0,3.0,1.0,0.0,38.0,37.0,52.0,1.0,1.0,0.0,0.0,0.0,57741.0,68273.0,74.0,580.0,172.0,206.0,2.0,0.0,1.0,0.0,0.0,37.0,38.0,49.0,0.0,0.0,0.0,0.0,0.0,1413.0,2.0,2451.0,2.0,0.0,1.0,4.0,1.0
24,1.0,62133.0,71466.0,76.0,525.0,120.0,73.0,6.0,0.0,4.0,1.0,0.0,45.0,54.0,53.0,0.0,1.0,0.0,0.0,1.0,65550.0,73078.0,77.0,507.0,194.0,461.0,3.0,0.0,1.0,1.0,0.0,54.0,45.0,46.0,1.0,0.0,0.0,0.0,0.0,-1612.0,-1.0,-3417.0,3.0,0.0,0.0,3.0,0.0
25,0.0,53859.0,65401.0,73.0,588.0,158.0,79.0,6.0,0.0,3.0,1.0,0.0,26.0,32.0,35.0,0.0,1.0,0.0,0.0,0.0,60343.0,72358.0,76.0,691.0,141.0,73.0,4.0,0.0,1.0,1.0,1.0,32.0,26.0,41.0,1.0,0.0,1.0,0.0,0.0,-6957.0,-3.0,-6484.0,2.0,-1.0,0.0,2.0,0.0
26,0.0,51455.0,67326.0,74.0,531.0,136.0,56.0,1.0,1.0,1.0,0.0,0.0,22.0,38.0,34.0,0.0,1.0,0.0,0.0,0.0,62537.0,76014.0,79.0,539.0,183.0,42.0,8.0,2.0,4.0,1.0,1.0,38.0,22.0,48.0,1.0,0.0,1.0,0.0,1.0,-8688.0,-5.0,-11082.0,-3.0,-1.0,-1.0,-7.0,-1.0
27,1.0,56094.0,70233.0,74.0,616.0,199.0,72.0,8.0,0.0,2.0,2.0,0.0,30.0,24.0,20.0,1.0,1.0,0.0,0.0,0.0,53314.0,69911.0,77.0,593.0,158.0,47.0,0.0,0.0,1.0,0.0,0.0,24.0,30.0,22.0,0.0,0.0,0.0,0.0,0.0,322.0,-3.0,2780.0,1.0,0.0,2.0,8.0,0.0
28,1.0,60047.0,65617.0,72.0,476.0,166.0,73.0,7.0,1.0,3.0,1.0,0.0,43.0,35.0,56.0,1.0,0.0,0.0,0.0,0.0,54977.0,62763.0,71.0,451.0,120.0,597.0,3.0,0.0,2.0,0.0,0.0,35.0,43.0,58.0,0.0,1.0,0.0,0.0,0.0,2854.0,1.0,5070.0,1.0,0.0,1.0,4.0,1.0
29,1.0,68188.0,80994.0,81.0,568.0,228.0,78.0,8.0,1.0,4.0,1.0,1.0,45.0,25.0,45.0,0.0,1.0,1.0,0.0,1.0,55827.0,69454.0,76.0,640.0,112.0,47.0,2.0,0.0,0.0,1.0,0.0,25.0,45.0,44.0,1.0,0.0,0.0,0.0,0.0,11540.0,5.0,12361.0,4.0,1.0,0.0,6.0,1.0
30,1.0,62374.0,76024.0,78.0,644.0,201.0,100.0,8.0,1.0,4.0,1.0,0.0,32.0,31.0,28.0,1.0,1.0,0.0,0.0,1.0,55332.0,69015.0,75.0,592.0,100.0,47.0,3.0,0.0,1.0,0.0,0.0,31.0,32.0,30.0,0.0,0.0,0.0,0.0,0.0,7009.0,3.0,7042.0,3.0,0.0,1.0,5.0,1.0
31,1.0,62994.0,75203.0,78.0,568.0,139.0,108.0,4.0,0.0,3.0,1.0,1.0,37.0,40.0,61.0,1.0,1.0,1.0,0.0,0.0,65360.0,68346.0,74.0,601.0,201.0,78.0,5.0,1.0,2.0,0.0,0.0,40.0,37.0,43.0,0.0,0.0,0.0,0.0,0.0,6857.0,4.0,-2366.0,1.0,1.0,1.0,-1.0,-1.0
32,1.0,58196.0,67870.0,73.0,537.0,151.0,155.0,7.0,1.0,3.0,2.0,0.0,37.0,31.0,61.0,1.0,0.0,0.0,0.0,0.0,54473.0,64191.0,72.0,514.0,123.0,70.0,2.0,0.0,1.0,0.0,0.0,31.0,37.0,31.0,0.0,1.0,0.0,0.0,0.0,3679.0,1.0,3723.0,2.0,0.0,2.0,5.0,1.0
33,0.0,56321.0,66176.0,73.0,542.0,116.0,63.0,4.0,0.0,0.0,1.0,0.0,30.0,35.0,41.0,1.0,0.0,0.0,0.0,0.0,59609.0,73138.0,78.0,588.0,200.0,52.0,3.0,0.0,4.0,0.0,1.0,35.0,30.0,29.0,0.0,1.0,1.0,0.0,1.0,-6962.0,-5.0,-3288.0,-4.0,-1.0,1.0,1.0,0.0
34,1.0,56760.0,71665.0,76.0,587.0,171.0,113.0,8.0,1.0,3.0,1.0,0.0,33.0,16.0,35.0,1.0,1.0,0.0,0.0,0.0,48419.0,60597.0,70.0,535.0,97.0,45.0,2.0,0.0,1.0,0.0,0.0,16.0,33.0,26.0,0.0,0.0,0.0,0.0,0.0,11068.0,6.0,8341.0,2.0,0.0,1.0,6.0,1.0
35,0.0,61315.0,70555.0,75.0,484.0,174.0,78.0,5.0,0.0,2.0,2.0,0.0,45.0,47.0,50.0,1.0,0.0,0.0,0.0,0.0,63189.0,70727.0,76.0,555.0,130.0,64.0,4.0,0.0,3.0,0.0,1.0,47.0,45.0,46.0,0.0,1.0,1.0,0.0,0.0,-172.0,-1.0,-1874.0,-1.0,-1.0,2.0,1.0,0.0
36,0.0,51543.0,61176.0,70.0,498.0,100.0,70.0,4.0,0.0,1.0,0.0,0.0,25.0,53.0,36.0,0.0,1.0,0.0,0.0,0.0,63538.0,72602.0,78.0,547.0,199.0,70.0,4.0,1.0,3.0,1.0,0.0,53.0,25.0,80.0,1.0,0.0,0.0,0.0,0.0,-11426.0,-8.0,-11995.0,-2.0,0.0,-1.0,0.0,-1.0
37,1.0,57178.0,67910.0,74.0,667.0,166.0,145.0,8.0,0.0,4.0,1.0,0.0,26.0,25.0,25.0,1.0,1.0,0.0,0.0,1.0,57452.0,74134.0,78.0,628.0,137.0,74.0,3.0,0.0,0.0,0.0,1.0,25.0,26.0,45.0,0.0,0.0,1.0,0.0,0.0,-6224.0,-4.0,-274.0,4.0,-1.0,1.0,5.0,0.0
38,0.0,48002.0,58117.0,68.0,474.0,80.0,42.0,3.0,0.0,0.0,0.0,0.0,26.0,42.0,46.0,0.0,0.0,0.0,0.0,0.0,63175.0,70192.0,75.0,555.0,193.0,187.0,6.0,2.0,5.0,2.0,1.0,42.0,26.0,36.0,1.0,1.0,1.0,1.0,1.0,-12075.0,-7.0,-15173.0,-5.0,-1.0,-2.0,-3.0,-2.0
39,0.0,64994.0,74830.0,78.0,536.0,121.0,69.0,8.0,0.0,1.0,2.0,0.0,51.0,48.0,46.0,1.0,1.0,0.0,0.0,0.0,69057.0,80031.0,80.0,612.0,204.0,111.0,4.0,1.0,3.0,0.0,0.0,48.0,51.0,48.0,0.0,0.0,0.0,0.0,0.0,-5201.0,-2.0,-4063.0,-2.0,0.0,2.0,4.0,-1.0
