,blueWin,blueGold,blueExp,blueLvl,blueCS,blueJngCS,blueVisionScore,blueTowerScore,blueInhibScore,blueDrakeScore,blueHeraldScore,blueBaronScore,blueKillScore,blueDeathScore,blueAssistScore,blueFirstHerald,blueFirstDrake,blueFirstBaron,blueFirstElder,blueDrakeSoul,redGold,redExp,redLvl,redCS,redJngCS,redVisionScore,redTowerScore,redInhibScore,redDrakeScore,redHeraldScore,redBaronScore,redKillScore,redDeathScore,redAssistScore,redFirstHerald,redFirstDrake,redFirstBaron,redFirstElder,redDrakeSoul,blueExpDiff,blueLvlDiff,blueGoldDiff,blueDrakeDiff,blueBaronDiff,blueHeraldDiff,blueTowerDiff,blueInhibDiff
0,1.0,58522.0,69139.0,75.0,499.0,217.0,66.0,8.0,3.0,4.0,1.0,1.0,33.0,22.0,35.0,1.0,0.0,1.0,0.0,1.0,47620.0,59951.0,69.0,610.0,64.0,322.0,0.0,0.0,1.0,0.0,0.0,22.0,33.0,23.0,0.0,1.0,0.0,0.0,0.0,9188.0,6.0,10902.0,3.0,1.0,1.0,8.0,3.0
1,1.0,57342.0,69814.0,76.0,430.0,103.0,41.0,4.0,0.0,3.0,0.0,1.0,40.0,29.0,69.0,0.0,1.0,1.0,0.0,0.0,52936.0,57329.0,67.0,463.0,181.0,37.0,5.0,0.0,1.0,2.0,0.0,29.0,40.0,36.0,1.0,0.0,0.0,0.0,0.0,12485.0,9.0,4406.0,2.0,1.0,-2.0,-1.0,0.0
2,0.0,55317.0,64625.0,72.0,678.0,162.0,200.0,8.0,0.0,2.0,0.0,0.0,24.0,21.0,24.0,0.0,0.0,0.0,0.0,0.0,59434.0,72352.0,76.0,813.0,194.0,78.0,5.0,1.0,2.0,1.0,1.0,21.0,24.0,16.0,1.0,1.0,1.0,0.0,0.0,-7727.0,-4.0,-4117.0,0.0,-1.0,-1.0,3.0,-1.0
3,1.0,61234.0,70529.0,75.0,542.0,188.0,74.0,10.0,3.0,2.0,2.0,0.0,38.0,31.0,49.0,1.0,1.0,0.0,0.0,0.0,55996.0,74031.0,77.0,617.0,164.0,72.0,0.0,0.0,2.0,0.0,0.0,31.0,38.0,33.0,0.0,0.0,0.0,0.0,0.0,-3502.0,-2.0,5238.0,0.0,0.0,2.0,10.0,3.0
4,1.0,62691.0,71916.0,76.0,486.0,190.0,70.0,10.0,1.0,2.0,1.0,0.0,43.0,42.0,54.0,0.0,0.0,0.0,0.0,0.0,57595.0,71120.0,77.0,515.0,115.0,84.0,1.0,0.0,2.0,1.0,0.0,42.0,43.0,59.0,1.0,1.0,0.0,0.0,0.0,796.0,-1.0,5096.0,0.0,0.0,0.0,9.0,1.0
5,1.0,53981.0,64738.0,72.0,592.0,183.0,133.0,5.0,0.0,4.0,1.0,0.0,26.0,25.0,34.0,0.0,1.0,0.0,0.0,1.0,55533.0,67206.0,74.0,622.0,124.0,61.0,2.0,0.0,1.0,1.0,1.0,25.0,26.0,43.0,1.0,0.0,1.0,0.0,0.0,-2468.0,-2.0,-1552.0,3.0,-1.0,0.0,3.0,0.0
6,1.0,57763.0,70583.0,75.0,535.0,151.0,59.0,5.0,0.0,2.0,0.0,0.0,36.0,23.0,35.0,0.0,1.0,0.0,0.0,0.0,56042.0,67375.0,73.0,634.0,156.0,221.0,6.0,0.0,1.0,1.0,0.0,23.0,36.0,16.0,1.0,0.0,0.0,0.0,0.0,3208.0,2.0,1721.0,1.0,0.0,-1.0,-1.0,0.0
7,1.0,62098.0,74437.0,78.0,606.0,186.0,59.0,7.0,0.0,3.0,1.0,1.0,27.0,37.0,45.0,1.0,0.0,1.0,0.0,0.0,57995.0,66629.0,74.0,630.0,191.0,65.0,2.0,0.0,2.0,1.0,0.0,37.0,27.0,40.0,0.0,1.0,0.0,0.0,0.0,7808.0,4.0,4103.0,1.0,1.0,0.0,5.0,0.0
8,1.0,57200.0,62128.0,70.0,463.0,113.0,145.0,6.0,0.0,1.0,1.0,0.0,44.0,52.0,54.0,1.0,0.0,0.0,0.0,0.0,65463.0,70318.0,76.0,493.0,177.0,76.0,3.0,0.0,4.0,0.0,0.0,52.0,44.0,57.0,0.0,1.0,0.0,0.0,1.0,-8190.0,-6.0,-8263.0,-3.0,0.0,1.0,3.0,0.0
9,1.0,61321.0,69140.0,73.0,569.0,155.0,48.0,4.0,0.0,1.0,1.0,1.0,38.0,43.0,52.0,0.0,0.0,1.0,0.0,0.0,60492.0,66609.0,73.0,446.0,150.0,60.0,5.0,0.0,4.0,1.0,0.0,43.0,38.0,69.0,1.0,1.0,0.0,0.0,1.0,2531.0,0.0,829.0,-3.0,1.0,0.0,-1.0,0.0
10,0.0,52712.0,62648.0,71.0,495.0,75.0,70.0,2.0,0.0,2.0,0.0,0.0,31.0,16.0,54.0,0.0,1.0,0.0,0.0,0.0,50679.0,56044.0,66.0,532.0,172.0,46.0,5.0,1.0,1.0,1.0,0.0,16.0,31.0,16.0,1.0,0.0,0.0,0.0,0.0,6604.0,5.0,2033.0,1.0,0.0,-1.0,-3.0,-1.0
11,1.0,58585.0,72972.0,77.0,515.0,165.0,58.0,7.0,0.0,4.0,1.0,1.0,34.0,20.0,24.0,1.0,1.0,1.0,0.0,1.0,46131.0,60242.0,70.0,505.0,114.0,329.0,0.0,0.0,0.0,0.0,0.0,20.0,34.0,30.0,0.0,0.0,0.0,0.0,0.0,12730.0,7.0,12454.0,4.0,1.0,1.0,7.0,0.0
12,1.0,65399.0,70658.0,75.0,494.0,192.0,135.0,7.0,1.0,3.0,2.0,1.0,45.0,40.0,62.0,1.0,1.0,1.0,0.0,0.0,62131.0,71659.0,77.0,554.0,117.0,125.0,3.0,0.0,1.0,0.0,0.0,40.0,45.0,53.0,0.0,0.0,0.0,0.0,0.0,-1001.0,-2.0,3268.0,2.0,1.0,2.0,4.0,1.0
13,1.0,59018.0,73914.0,77.0,583.0,165.0,51.0,11.0,3.0,3.0,2.0,1.0,28.0,17.0,43.0,1.0,0.0,1.0,0.0,0.0,50364.0,64561.0,71.0,593.0,157.0,61.0,2.0,0.0,1.0,0.0,0.0,17.0,28.0,30.0,0.0,1.0,0.0,0.0,0.0,9353.0,6.0,8654.0,2.0,1.0,2.0,9.0,3.0
14,0.0,55785.0,66503.0,74.0,565.0,128.0,87.0,4.0,0.0,1.0,1.0,0.0,26.0,44.0,31.0,1.0,1.0,0.0,0.0,0.0,62201.0,77060.0,79.0,524.0,198.0,58.0,5.0,1.0,3.0,1.0,1.0,44.0,26.0,42.0,0.0,0.0,1.0,0.0,0.0,-10557.0,-5.0,-6416.0,-2.0,-1.0,0.0,-1.0,-1.0
15,0.0,54840.0,58132.0,67.0,531.0,143.0,77.0,3.0,0.0,3.0,2.0,0.0,32.0,31.0,35.0,1.0,1.0,0.0,0.0,0.0,52230.0,60680.0,70.0,531.0,104.0,146.0,3.0,0.0,1.0,0.0,0.0,31.0,32.0,49.0,0.0,0.0,0.0,0.0,0.0,-2548.0,-3.0,2610.0,2.0,0.0,2.0,0.0,0.0
16,1.0,59921.0,72022.0,76.0,615.0,139.0,86.0,7.0,0.0,2.0,1.0,0.0,34.0,41.0,29.0,0.0,0.0,0.0,0.0,0.0,61624.0,73786.0,76.0,566.0,168.0,41.0,5.0,1.0,2.0,1.0,1.0,41.0,34.0,47.0,1.0,1.0,1.0,0.0,0.0,-1764.0,0.0,-1703.0,0.0,-1.0,0.0,2.0,-1.0
17,1.0,63639.0,71632.0,76.0,561.0,152.0,72.0,8.0,3.0,4.0,1.0,1.0,42.0,33.0,47.0,1.0,1.0,1.0,0.0,1.0,58850.0,73036.0,78.0,637.0,108.0,77.0,1.0,0.0,1.0,0.0,0.0,33.0,42.0,43.0,0.0,0.0,0.0,0.0,0.0,-1404.0,-2.0,4789.0,3.0,1.0,1.0,7.0,3.0
18,0.0,54443.0,64960.0,73.0,403.0,142.0,50.0,5.0,0.0,3.0,1.0,2.0,30.0,29.0,47.0,1.0,1.0,1.0,0.0,0.0,54081.0,61268.0,69.0,504.0,162.0,35.0,5.0,1.0,2.0,0.0,0.0,29.0,30.0,31.0,0.0,0.0,0.0,0.0,0.0,3692.0,4.0,362.0,1.0,2.0,1.0,0.0,-1.0
19,0.0,58019.0,60465.0,69.0,505.0,99.0,79.0,4.0,0.0,3.0,0.0,0.0,46.0,46.0,51.0,0.0,1.0,0.0,0.0,0.0,61712.0,65453.0,73.0,460.0,134.0,469.0,5.0,1.0,2.0,1.0,1.0,46.0,46.0,57.0,1.0,0.0,1.0,0.0,0.0,-4988.0,-4.0,-3693.0,1.0,-1.0,-1.0,-1.0,-1.0
20,0.0,59575.0,68497.0,74.0,598.0,183.0,69.0,5.0,1.0,2.0,1.0,0.0,36.0,34.0,37.0,1.0,1.0,0.0,0.0,0.0,64243.0,74500.0,77.0,631.0,150.0,75.0,6.0,0.0,3.0,1.0,1.0,34.0,36.0,31.0,0.0,0.0,1.0,0.0,0.0,-6003.0,-3.0,-4668.0,-1.0,-1.0,0.0,-1.0,1.0
21,1.0,53256.0,63957.0,72.0,477.0,144.0,445.0,1.0,0.0,3.0,0.0,0.0,35.0,38.0,31.0,0.0,0.0,0.0,0.0,0.0,58100.0,67134.0,74.0,504.0,132.0,69.0,4.0,0.0,1.0,1.0,0.0,38.0,35.0,50.0,1.0,1.0,0.0,0.0,0.0,-3177.0,-2.0,-4844.0,2.0,0.0,-1.0,-3.0,0.0
22,1.0,55137.0,63315.0,72.0,445.0,109.0,38.0,3.0,0.0,0.0,0.0,1.0,35.0,40.0,47.0,0.0,0.0,1.0,0.0,0.0,55003.0,61899.0,70.0,408.0,193.0,41.0,5.0,1.0,3.0,2.0,0.0,40.0,35.0,24.0,1.0,1.0,0.0,0.0,0.0,1416.0,2.0,134.0,-3.0,1.0,-2.0,-2.0,-1.0
