,blueWin,blueGold,blueExp,blueLvl,blueCS,blueJngCS,blueVisionScore,blueTowerScore,blueInhibScore,blueDrakeScore,blueHeraldScore,blueBaronScore,blueKillScore,blueDeathScore,blueAssistScore,blueFirstHerald,blueFirstDrake,blueFirstBaron,blueFirstElder,blueDrakeSoul,redGold,redExp,redLvl,redCS,redJngCS,redVisionScore,redTowerScore,redInhibScore,redDrakeScore,redHeraldScore,redBaronScore,redKillScore,redDeathScore,redAssistScore,redFirstHerald,redFirstDrake,redFirstBaron,redFirstElder,redDrakeSoul,blueExpDiff,blueLvlDiff,blueGoldDiff,blueDrakeDiff,blueBaronDiff,blueHeraldDiff,blueTowerDiff,blueInhibDiff
0,0.0,35130.0,42021.0,56.0,440.0,87.0,42.0,3.0,0.0,0.0,0.0,0.0,12.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0,41391.0,49534.0,62.0,441.0,138.0,68.0,4.0,0.0,3.0,1.0,0.0,24.0,12.0,22.0,1.0,1.0,0.0,0.0,0.0,-7513.0,-6.0,-6261.0,-3.0,0.0,-1.0,-1.0,0.0
1,1.0,46955.0,52153.0,63.0,486.0,170.0,162.0,5.0,0.0,2.0,2.0,0.0,28.0,12.0,47.0,1.0,0.0,0.0,0.0,0.0,35767.0,44080.0,58.0,455.0,122.0,49.0,0.0,0.0,1.0,0.0,0.0,12.0,28.0,12.0,0.0,1.0,0.0,0.0,0.0,8073.0,5.0,11188.0,1.0,0.0,2.0,5.0,0.0
2,0.0,39956.0,43067.0,57.0,446.0,97.0,47.0,3.0,0.0,0.0,0.0,0.0,17.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,45697.0,51223.0,64.0,472.0,178.0,59.0,4.0,0.0,4.0,2.0,0.0,26.0,17.0,28.0,1.0,1.0,0.0,0.0,1.0,-8156.0,-7.0,-5741.0,-4.0,0.0,-2.0,-1.0,0.0
3,1.0,41270.0,51268.0,63.0,458.0,153.0,45.0,4.0,0.0,2.0,2.0,0.0,19.0,8.0,22.0,1.0,1.0,0.0,0.0,0.0,32691.0,40784.0,56.0,393.0,84.0,52.0,0.0,0.0,0.0,0.0,0.0,8.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,10484.0,7.0,8579.0,2.0,0.0,2.0,4.0,0.0
4,0.0,38439.0,42953.0,57.0,430.0,22.0,82.0,5.0,0.0,0.0,1.0,0.0,18.0,18.0,20.0,0.0,0.0,0.0,0.0,0.0,40235.0,48378.0,61.0,399.0,161.0,37.0,3.0,0.0,3.0,1.0,0.0,18.0,18.0,11.0,1.0,1.0,0.0,0.0,0.0,-5425.0,-4.0,-1796.0,-3.0,0.0,0.0,2.0,0.0
5,0.0,36836.0,46388.0,61.0,412.0,113.0,51.0,2.0,0.0,1.0,1.0,0.0,16.0,27.0,14.0,0.0,0.0,0.0,0.0,0.0,44755.0,52147.0,65.0,427.0,149.0,223.0,2.0,0.0,2.0,1.0,0.0,27.0,16.0,31.0,1.0,1.0,0.0,0.0,0.0,-5759.0,-4.0,-7919.0,-1.0,0.0,0.0,0.0,0.0
6,0.0,37062.0,39562.0,54.0,380.0,91.0,34.0,2.0,0.0,1.0,0.0,0.0,16.0,35.0,16.0,0.0,1.0,0.0,0.0,0.0,44157.0,47439.0,60.0,396.0,136.0,79.0,5.0,0.0,2.0,1.0,0.0,35.0,16.0,37.0,1.0,0.0,0.0,0.0,0.0,-7877.0,-6.0,-7095.0,-1.0,0.0,-1.0,-3.0,0.0
7,0.0,30455.0,35515.0,52.0,369.0,36.0,34.0,2.0,0.0,0.0,1.0,0.0,9.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,40902.0,46580.0,59.0,374.0,168.0,29.0,3.0,0.0,3.0,1.0,0.0,20.0,9.0,29.0,1.0,1.0,0.0,0.0,0.0,-11065.0,-7.0,-10447.0,-3.0,0.0,0.0,-1.0,0.0
8,1.0,44533.0,52838.0,64.0,465.0,144.0,25.0,3.0,0.0,2.0,1.0,0.0,26.0,19.0,21.0,1.0,1.0,0.0,0.0,0.0,41192.0,48632.0,61.0,454.0,79.0,75.0,3.0,0.0,1.0,0.0,0.0,19.0,26.0,15.0,0.0,0.0,0.0,0.0,0.0,4206.0,3.0,3341.0,1.0,0.0,1.0,0.0,0.0
9,1.0,47282.0,50007.0,62.0,446.0,131.0,113.0,7.0,0.0,3.0,2.0,0.0,29.0,17.0,34.0,1.0,1.0,0.0,0.0,0.0,35708.0,42187.0,57.0,383.0,75.0,44.0,0.0,0.0,0.0,0.0,0.0,17.0,29.0,20.0,0.0,0.0,0.0,0.0,0.0,7820.0,5.0,11574.0,3.0,0.0,2.0,7.0,0.0
