,blueWin,blueGold,blueExp,blueLvl,blueCS,blueJngCS,blueVisionScore,blueTowerScore,blueInhibScore,blueDrakeScore,blueHeraldScore,blueBaronScore,blueKillScore,blueDeathScore,blueAssistScore,blueFirstHerald,blueFirstDrake,blueFirstBaron,blueFirstElder,blueDrakeSoul,redGold,redExp,redLvl,redCS,redJngCS,redVisionScore,redTowerScore,redInhibScore,redDrakeScore,redHeraldScore,redBaronScore,redKillScore,redDeathScore,redAssistScore,redFirstHerald,redFirstDrake,redFirstBaron,redFirstElder,redDrakeSoul,blueExpDiff,blueLvlDiff,blueGoldDiff,blueDrakeDiff,blueBaronDiff,blueHeraldDiff,blueTowerDiff,blueInhibDiff
0,0.0,44869.0,54511.0,66.0,546.0,117.0,54.0,5.0,0.0,0.0,0.0,0.0,15.0,30.0,11.0,0.0,0.0,0.0,0.0,0.0,54644.0,68787.0,74.0,559.0,176.0,97.0,4.0,0.0,4.0,1.0,1.0,30.0,15.0,25.0,1.0,1.0,1.0,0.0,1.0,-14276.0,-8.0,-9775.0,-4.0,-1.0,-1.0,1.0,0.0
1,1.0,54981.0,68855.0,75.0,561.0,205.0,67.0,8.0,2.0,3.0,2.0,1.0,30.0,9.0,50.0,1.0,1.0,1.0,0.0,0.0,40385.0,50975.0,63.0,516.0,97.0,72.0,1.0,0.0,0.0,0.0,0.0,9.0,30.0,14.0,0.0,0.0,0.0,0.0,0.0,17880.0,12.0,14596.0,3.0,1.0,2.0,7.0,2.0
2,0.0,49468.0,57882.0,67.0,534.0,34.0,123.0,6.0,0.0,0.0,1.0,0.0,28.0,28.0,42.0,0.0,0.0,0.0,0.0,0.0,51819.0,62772.0,72.0,496.0,213.0,47.0,4.0,0.0,4.0,1.0,0.0,28.0,28.0,23.0,1.0,1.0,0.0,0.0,1.0,-4890.0,-5.0,-2351.0,-4.0,0.0,0.0,2.0,0.0
3,1.0,58170.0,70243.0,76.0,532.0,197.0,39.0,4.0,0.0,3.0,1.0,0.0,40.0,27.0,44.0,1.0,1.0,0.0,0.0,0.0,50270.0,59761.0,70.0,543.0,103.0,104.0,3.0,0.0,1.0,0.0,0.0,27.0,40.0,24.0,0.0,0.0,0.0,0.0,0.0,10482.0,6.0,7900.0,2.0,0.0,1.0,1.0,0.0
4,1.0,52902.0,62811.0,70.0,584.0,208.0,43.0,7.0,1.0,4.0,1.0,0.0,24.0,21.0,20.0,1.0,1.0,0.0,0.0,1.0,45900.0,58985.0,68.0,530.0,88.0,53.0,0.0,0.0,0.0,0.0,0.0,21.0,24.0,32.0,0.0,0.0,0.0,0.0,0.0,3826.0,2.0,7002.0,4.0,0.0,1.0,7.0,1.0
5,0.0,51871.0,60240.0,71.0,607.0,199.0,65.0,5.0,1.0,3.0,2.0,1.0,19.0,19.0,23.0,1.0,1.0,1.0,0.0,0.0,47630.0,63814.0,72.0,565.0,142.0,65.0,0.0,0.0,2.0,0.0,0.0,19.0,19.0,32.0,0.0,0.0,0.0,0.0,0.0,-3574.0,-1.0,4241.0,1.0,1.0,2.0,5.0,1.0
6,0.0,49924.0,56510.0,67.0,537.0,111.0,426.0,7.0,0.0,1.0,1.0,0.0,24.0,21.0,30.0,1.0,1.0,0.0,0.0,0.0,49741.0,58699.0,67.0,550.0,141.0,34.0,3.0,0.0,3.0,0.0,0.0,21.0,24.0,23.0,0.0,0.0,0.0,0.0,0.0,-2189.0,0.0,183.0,-2.0,0.0,1.0,4.0,0.0
7,1.0,57378.0,68144.0,75.0,537.0,244.0,82.0,7.0,1.0,4.0,2.0,1.0,35.0,17.0,37.0,1.0,1.0,1.0,0.0,1.0,43752.0,55184.0,66.0,504.0,97.0,61.0,0.0,0.0,0.0,0.0,0.0,17.0,35.0,23.0,0.0,0.0,0.0,0.0,0.0,12960.0,9.0,13626.0,4.0,1.0,2.0,7.0,1.0
8,0.0,45595.0,57058.0,69.0,560.0,119.0,63.0,3.0,0.0,1.0,2.0,0.0,18.0,33.0,20.0,1.0,1.0,0.0,0.0,0.0,59042.0,70622.0,76.0,672.0,225.0,66.0,5.0,0.0,4.0,0.0,0.0,33.0,18.0,44.0,0.0,0.0,0.0,0.0,1.0,-13564.0,-7.0,-13447.0,-3.0,0.0,2.0,-2.0,0.0
9,1.0,54269.0,65754.0,73.0,585.0,183.0,77.0,4.0,0.0,3.0,1.0,0.0,32.0,28.0,40.0,0.0,1.0,0.0,0.0,0.0,50091.0,61229.0,69.0,524.0,123.0,221.0,3.0,0.0,1.0,1.0,0.0,28.0,32.0,37.0,1.0,0.0,0.0,0.0,0.0,4525.0,4.0,4178.0,2.0,0.0,0.0,1.0,0.0
